,Eligibility,Frequency,Arrangements,Costs,Privacy,doc
0,"Full-time employees with a minimum of one year in their role and under an indefinite contract are eligible for telework. Eligible roles include Comptabilité, Qualité, Ressources humaines, and Secrétariat. The document does not mention eligibility for part-time or temporary workers.
- *","Telework is allowed for a maximum of three days per week. The document does not mention minimum requirements for office presence.
- *","Telework arrangements are established through a written request to the DRH, with a two-month acceptance period. The document does not specify if manager discretion is involved.
- *","The company provides necessary equipment and pays a monthly indemnity for internet costs. The document does not mention IT setup or meal allowance.
- *","The document emphasizes the right to disconnect and the application of the quality of life at work agreement. It does not explicitly mention privacy provisions.

The document does not mention the process for returning to non-telework or the determination of plages horaires for contacting the teleworker. It also does not mention the coverage of risks related to telework or the obligation of discretion and confidentiality.",T07221002883-77565229000583
1,"- Eligible workers are those with a CDI, at least 12 months of seniority in the company and 6 months on the post, working at least 80% of the full-time duration.
- The employee's post must be compatible with telework, and the employee must have autonomy and be able to work without direct supervision.
- The employee's home must meet specific conditions, such as being adapted to professional activity, ensuring confidentiality, and having a suitable internet connection.

F","- Telework is allowed for one day per week, with a fixed schedule.
- The employee can be required to work on-site for professional reasons, such as training, meetings, or travel.

A","- Telework arrangements are established through a written agreement between the employee and the company.
- The employee must submit a written request to their supervisor and the Human Resources department.
- The company will respond within one month, and if the request is denied, the company must provide a written justification.

C","- The company does not cover any costs associated with telework, such as internet or electricity bills.
- The employee is responsible for providing a suitable workspace at home.

P","- The company respects the employee's right to disconnect and privacy during telework hours.
- The employee is expected to work during specific hours and be reachable via phone, messaging, and email.
- The company will not contact the employee outside of their designated work hours, except in cases of emergency.

The document does not mention specific provisions for the right to disconnect and privacy of the worker.",T09121007250-44773055700033
2,"All sédentary employees and personnel detached to terrestrial duties in Marseille who have at least one month of tenure, are not in a probationary period, and have a job that can be performed remotely are eligible for telework (Article 3.1).
- *","Telework is allowed for two days per week, with an additional day for those with RQTH or for pregnant women in their third trimester (Article 7).
- *","Telework arrangements are established through a written agreement between the employee and manager. The manager has discretion over the allowability of telework (Article 3.0).
- *","The company provides the necessary equipment for telework, and the employee is responsible for maintaining it in good condition. The employee is responsible for any non-professional use of the equipment (Article 6).
- *","The company is committed to respecting the privacy of teleworkers and has implemented measures to ensure the security of data and information (Article 9.4). The document does not mention the right to disconnect.

Note: The document does not mention the coverage of costs associated with telework, such as IT setup and meal allowance.",T01321012395-83395596600019
3,"Amazon France Logistique employees who are cadres with a CDI or CDD, full-time or part-time, and have at least six months of tenure are eligible for telework. Stagiaires and alternants are not eligible (Article 2).
- *","Telework is allowed up to three days per week, with a minimum of two days per week in the office. The manager can require a fixed day of presence (Article 3).
- *","Employees must submit a request via email to their manager and HR. The manager and HR have 15 days to respond. The employee must provide an attestation of high-speed internet and electrical compliance (Article 3).
- *","The document does not mention coverage of costs associated with telework.
- *","The document does not mention provisions for the right to disconnect or privacy of the worker.

Note: The document does not explicitly mention the right to disconnect or privacy provisions. It is essential to ensure that telework policies address these concerns to protect employees' well-being and work-life balance.",T09221025977-42878504200105
4,"- Eligible workers are those with at least 6 months of tenure, who can work autonomously, and have a compatible post and activities for telework.
- The employee's post must be compatible with telework, and they must have a sufficient internet connection at their home.
- The document does not mention eligibility for apprentices, alternants, or stagees.

*","- Telework is allowed for a maximum of 2 fixed days per week or 4 floating days per month with a 7-day advance notice.
- Days cannot be consecutive or combined with RTT or days off.

*","- Telework arrangements are established by mutual agreement between the employee and the company.
- The manager has discretion over the allowability of telework and must consider the needs of the mission and the team's balance.

*","- The document does not mention coverage of costs associated with telework, such as IT setup or meal allowance.

*","- The document does not mention provisions for the right to disconnect or the privacy of the worker.

The document does not mention the process for establishing telework arrangements or the coverage of costs associated with telework. Additionally, it does not address the right to disconnect or the privacy of the worker.",T07520025833-42875712400022
5,"Eligible workers are those from support services such as accounting, finance, facturation, legal, HR, quality, IT, and purchasing. They must have sufficient autonomy, be able to work independently, and have the necessary technical skills for telework. The document does not mention tenure or employment type as criteria (Article I.2).
- *","Telework is allowed for a maximum of 2 days per week, with at least 3 days of in-person work required. The number of days is not fixed and can be adjusted based on the employee's needs and the needs of the service (Article I.2).
- *","To establish telework arrangements, employees must submit a written request to their manager and the HR department. The manager will then assess the request and make a decision. The decision is based on the employee's eligibility, the needs of the service, and the company's interests (Article III.1-3).
- *","The company provides an internet connection and necessary equipment. Employees are responsible for their own workspace and internet connection. The company offers a monthly, forfaitary, and tax-free indemnity of 15€ to cover additional costs (Article V.3).
- *","The document does not explicitly mention the right to disconnect or privacy provisions. However, it does emphasize the importance of maintaining a balance between professional and personal life (Article I.2).

Note: The document does not explicitly mention the right to disconnect, but it does emphasize the importance of maintaining a balance between professional and personal life.",T07821009930-33819601700036
6,"The telework policy applies to salaried employees with at least six months of tenure, who are full-time, have a contract of at least six months, or are alternants or stagiaires with at least six months of presence in the company. Excluded are employees of the CRESERFI network and Télévente, except for specific situations. The telework arrangement is based on voluntary participation and the compatibility of the job with telework. (Article 3)
- *","Telework is allowed for a maximum of two days per week for cadre autonomes and one day per week for technicians and cadres ""Robien."" The telework days are defined by the employee and their manager, and they must be consecutive. (Article 5)
- *","Telework arrangements are established through an avenant to the employment contract, which is valid for 12 months and renewable. A probationary period of three months is included. The employee must have a high-speed internet connection and a conforming installation at their home. (Article 6)
- *","The company provides an indemnity of 10 € per day for telework expenses. The employee is responsible for informing their insurer of their new work arrangement and obtaining an attestation of home insurance coverage for telework. (Article 8)
- *","The right to disconnect is recognized, and the company commits to not contacting the employee outside of their regular working hours. The employee is responsible for ensuring their workspace is safe and compliant with legal requirements. (Article 8)

Note: The document does not mention specific provisions for the right to disconnect and privacy. The above summary is based on the provided information and general knowledge of telework policies.",T07521036974-77565936000231
7,"* Eligible workers are those who have at least 8 months of seniority for cadres, 6 months for agents of maîtrise, and 4 months for employees.
* The employee must have an autonomous job and work at least 60% of a full-time position.
* The employee's job must be compatible with telework, with a suitable workspace, high-speed internet, and an assurance policy that covers professional activities.

*","* For non-planned hour employees, 2 days per week are allowed for telework.
* For planned hour employees, 1 week out of 2 is allowed for telework.

*","* Telework arrangements are established through a formal request by the employee, followed by a response from the manager within 2 weeks.
* A 2-month adaptation period is provided for both the employee and the employer to assess the compatibility of telework with the employee's job.

*","* The company provides an IT kit for telework, including a laptop, keyboard, mouse, softphone, headset, and an additional screen.
* The employee is responsible for providing an attestation on the honor of their installation's conformity and an assurance policy that covers professional activities.

*","* The right to disconnect is respected, and the employee is not required to be available outside of their designated work hours.
* The company does not have the right to access the employee's home without their consent.

Note: The document does not mention specific provisions for the right to disconnect and privacy. However, the company is expected to adhere to French labor laws and regulations regarding these matters.",T09221029029-43301268900017
8,"Eligible workers are those with an autonomous role, working full-time or part-time with at least 80% of a full-time contract, and having at least 6 months of tenure in the company. They must have a suitable workspace at home and a stable internet connection. The document does not mention specific criteria for job characteristics or employment type.
- *","Telework is allowed one day per week, with an additional day possible for the first six months due to the current health situation. The employee must be present in the office for at least three days per week.
- *","Telework arrangements are established through a formal request process, with the employee submitting a written request to their manager and HR. The manager then evaluates the employee's eligibility and makes a decision within 8 working days.
- *","The company provides an ordinateur portable and its accessories, an antivirus, and necessary software. The employee is responsible for their internet connection and any additional costs associated with telework.
- *","The document does not explicitly mention provisions for the right to disconnect or privacy, but it does emphasize the importance of maintaining work-life balance and adhering to regular work hours.",T03120007275-34206914300085
9,"- Employees with sufficient autonomy in organizing their work and tasks
   - Holding a post that can be performed remotely while maintaining confidentiality
   - Not occupying positions requiring physical presence, customer/supplier interaction, or specific tools/software
   - Completing a trial period or probationary period
   - Excludes tutors, trainers, and those requiring on-site presence for integration and training
   (Article 3)

2. F","- 2 days per week for full-time employees
   - 1 day per week for part-time employees
   - No cumulative days or weekend/holiday telework
   - Preference for full days, with half-day exceptions
   (Article 4.1)

3. A","- Voluntary request by the employee and employer agreement
   - Manager's assessment based on job nature, confidentiality, autonomy, team configuration, and service needs
   - Adaptable and reversible telework
   - Manager's discretion to modify or cancel telework days
   (Article 3, Article 4.2)

4. C","- The document does not mention specific coverage for telework costs.

5. P","- Teleworkers must be reachable and available during core hours (9:00-12:00, 14:00-16:00)
   - Right to disconnect outside of core hours and during off-hours (21:00-6:00)
   - Confidentiality and discretion obligations for professional documents and information
   (Article 4.2.1)

Note: The document does not explicitly address the right to disconnect or privacy beyond core hours and professional document handling.",T04522004231-82411609900014
