,Eligibility,Frequency,Arrangements,Costs,Privacy,doc
0,"- **Article 1.1**: Telework is available to full-time and part-time employees (excluding apprentices) who work at least 50% of full-time hours and have at least two months of tenure. Telework can also be prescribed by a company doctor for health reasons, with specific contract amendments.

### F","- **Article 2**: Employees working 80% or more of full-time hours can telework up to 2 days per week (one fixed day and one variable day). Those working between 50% and less than 80% can telework 1 fixed day per week. Fixed days are either Monday or Friday, agreed upon with the manager.

### A","- **Article 4.1**: Employees must complete an eligibility diagnostic and telework request form, submitting them to their manager and HR. Managers have 15 days to respond. If denied, employees can appeal to HR. Telework agreements are formalized through a contract amendment.

### C","- **Article 3.3**: The company covers part of the internet subscription cost: €5/month for bi-weekly telework, €10/month for weekly telework, and €20/month for two days per week. IT equipment is provided by the company, and additional professional expenses are reimbursed upon justification.

### P","- **Article 4.4**: The company respects employees' privacy by not contacting them outside of 9 AM to 6 PM. Employees' personal information, such as home address and phone number, is kept confidential. Teleworkers have the same rights as other employees, including health and safety protections.

The document does not mention meal allowance.",ACCOTEXT000042495954
1,"- **Article 1**: All employees of UES Transdev are eligible for telework, including CDI, CDD, interim workers, apprentices, and interns, provided their job functions allow it.

### F","- **Article 4.2**: 
  - Telework is mandatory until June 2, 2020, for all roles that can be performed remotely.
  - Post-June 2, 2020, until at least July 31, 2020, employees are encouraged to telework at least three days per week if working full-time, and at least one day per week if on partial activity.
  - Maximum of two days per week on-site presence.

### A","- **Article 4.2**: 
  - Telework arrangements require manager approval.
  - Managers have discretion to grant exceptions for on-site work if justified by job requirements or telework conditions.

### C","- **Article 4.2**: 
  - The company has equipped employees with necessary IT tools for telework.
  - The document does not mention meal allowances or other specific cost coverages.

### P","- **Article 3.2**: 
  - Emphasis on maintaining a balance between professional and personal life.
  - Regular contact is encouraged to prevent isolation.
  - The document does not mention specific provisions for the right to disconnect.

(Note: The summaries are based on the provided document sections and may not cover all details due to the token limit.)",ACCOTEXT000042453693
2,"- **Article Reference**: The document does not mention eligibility.
- **Summary**: The document does not specify which workers are eligible for telework, including criteria such as tenure, employment type, or job characteristics.

### F","- **Article Reference**: The document does not mention frequency.
- **Summary**: The document does not specify the frequency of telework allowed, such as the number of days per week permitted or minimum requirements for the employee’s presence in the office.

### A","- **Article Reference**: The document does not mention arrangements.
- **Summary**: The document does not specify the process by which telework arrangements are established, including whether permission must be obtained and whether the manager has discretion over the allowability of telework.

### C","- **Article Reference**: The document does not mention costs.
- **Summary**: The document does not specify the coverage of costs associated with telework, such as IT setup and meal allowance.

### P","- **Article Reference**: The document does not mention privacy.
- **Summary**: The document does not specify provisions for the right to disconnect and the privacy of the worker.",ACCOTEXT000042446840
3,"- **Article Reference**: The document does not mention specific eligibility criteria for telework.
- **Summary**: The document does not mention eligibility criteria for telework.

### F","- **Article Reference**: The document does not mention the frequency of telework allowed.
- **Summary**: The document does not mention the frequency of telework allowed.

### A","- **Article Reference**: The document does not mention the process by which telework arrangements are established.
- **Summary**: The document does not mention the process by which telework arrangements are established.

### C","- **Article Reference**: The document does not mention the coverage of costs associated with telework.
- **Summary**: The document does not mention the coverage of costs associated with telework.

### P","- **Article Reference**: The document does not mention provisions for the right to disconnect and the privacy of the worker.
- **Summary**: The document does not mention provisions for the right to disconnect and the privacy of the worker.

### Additional Information
- **Article Reference**: General discussion on telework (no specific article number).
- **Summary**:
  - The document acknowledges the implementation of telework during the COVID-19 crisis from March to July 2020.
  - It highlights the benefits and limitations of telework and suggests a re-examination of the telework charter to reach an agreement by the end of 2020.",ACCOTEXT000042446844
4,"- **Article 1**: All active employees who do not currently have a telework agreement or whose existing agreement is less favorable than the current one are eligible for telework.

### F","- **Article 3**: Employees can telework from 1 to 5 days per week on average, alternating with time spent on client sites or DXC sites, depending on accessibility conditions communicated by the company.

### A","- **Article 2**: 
  - The primary telework location is the employee's main residence as recorded in HR systems.
  - Employees must inform their manager if they plan to telework from a different location and ensure the conditions are suitable for work.

### C","- **Article 4**: 
  - A monthly flat-rate indemnity is provided to cover telework expenses:
    - 1 day/week: €10 net per month
    - 2 days/week: €20 net per month
    - 3 days/week: €30 net per month
    - 4 days/week: €40 net per month
    - 5 days/week: €50 net per month
  - This indemnity is prorated based on actual telework days, excluding days of leave, illness, or full days on client or DXC sites.
- **Article 5**: All active employees can join the company's meal voucher program.

### P",- The document does not mention privacy provisions or the right to disconnect.,ACCOTEXT000042453723
5,"- **Article 1**: 
  - Workers in a situation of disability have priority access to telework.
  - Must meet eligibility conditions specified in Article 2.1 of the collective agreement dated June 23, 2015, and its revision on December 12, 2017.

### F","- **Article 2**: 
  - Telework is allowed up to one day per week from a domicile based in Europe.

### A","- The document does not mention the process by which telework arrangements are established.

### C","- The document does not mention the coverage of costs associated with telework.

### P",- The document does not mention provisions for the right to disconnect and the privacy of the worker.,ACCOTEXT000042466625
6,"(Article 2 – Le Télétravail)
- **Eligible Workers**: Employees with a minimum tenure of 6 months.
- **Employment Type**: Both full-time and part-time employees.
- **Job Characteristics**: Roles that can be performed remotely without impacting productivity.

### F","(Article 2 – Le Télétravail)
- **Telework Days**: Up to 2 days per week.
- **Office Presence**: Minimum of 3 days per week in the office.

### A","(Article 2 – Le Télétravail)
- **Process**: Employees must obtain permission from their manager.
- **Manager Discretion**: Managers have the discretion to approve or deny telework requests based on job requirements and team needs.

### C","(Article 2 – Le Télétravail)
- **IT Setup**: Company covers the cost of necessary IT equipment.
- **Meal Allowance**: No meal allowance provided for telework days.

### P","(Article 3 – Le Droit à la Déconnexion)
- **Right to Disconnect**: Employees are not required to respond to work communications outside of working hours (22:00 to 06:00).
- **Privacy**: Use of communication tools should respect personal time and privacy.

The document does not mention any additional costs associated with telework beyond IT setup.",ACCOTEXT000042453731
7,"- **Article 2**: Telework is available to employees who are 55 years and older and are working part-time under the senior part-time scheme.

### F","- **Article 2**: Eligible employees can telework for up to 2 days per week, provided they are present at the workplace at least 2 days per week.

### A","- **Article 2**: Telework arrangements are exceptional and must be compatible with the organization of work. The document does not specify a formal permission process or manager discretion.

### C","- The document does not mention costs associated with telework.

### P",- The document does not mention provisions for the right to disconnect and the privacy of the worker.,ACCOTEXT000042466636
8,"- **Article Reference**: Not explicitly mentioned
- **Summary**: The document does not mention specific criteria for worker eligibility for telework.

### F","- **Article Reference**: Telework & Connection à distance
- **Summary**:
  - Teleworkers must work a minimum of four (4) days per week in the office.
  - Exceptions for employees with disabilities, subject to approval by the occupational physician.

### A","- **Article Reference**: Telework & Connection à distance
- **Summary**:
  - Telework is voluntary and must be agreed upon by both the employee and the employer.
  - Managers have discretion over the allowability of telework.
  - Telework arrangements are subject to negotiation and approval.

### C","- **Article Reference**: Not explicitly mentioned
- **Summary**: The document does not mention coverage of costs associated with telework.

### P","- **Article Reference**: Not explicitly mentioned
- **Summary**: The document does not mention provisions for the right to disconnect and the privacy of the worker.",ACCOTEXT000042525940
9,"- **Article 2**: All employees of the UES are eligible for telework, except those whose job requires physical presence on-site.
- Telework may be restricted due to security rules, technical constraints, lack of internet connection, or an inappropriate workspace.
- Employees must ensure they have a suitable setup that preserves their health.

### F","- **Article 4.2**: The frequency of telework is determined jointly by the employee and their manager. In case of disagreement, the manager has the final say.
- The telework schedule can be modified by mutual agreement with a 5-day notice period.

### A","- **Article 3**: Telework is voluntary and initiated by the employee.
- Requests for telework can be either recurrent or occasional.
- Employees must submit their telework request via the GDA tool with a minimum notice of 5 days for recurrent and 1 day for occasional telework.
- Managers must approve or deny the request through the GDA tool, and any refusal must be justified.

### C","- **Article 4.4**: The company provides a laptop if the employee is not already equipped.
- The company reimburses part of the employee's personal internet subscription up to €30 per year, based on submitted receipts.
- Printers and telephony are not provided by the company.
- For employees with recognized disabilities, the company will contribute to the home workstation setup as per medical recommendations.

### P","- **Article 4.5**: Employees must adhere to confidentiality rules, especially regarding passwords and company data.
- Employees have the right to privacy and must report any security breaches or equipment loss immediately.
- **Article 4.6**: Employees must be reachable during work hours and may need to provide work reports as requested by their manager.

The document does not mention a specific ""right to disconnect"" provision.",ACCOTEXT000042466652
10,"- **Article Reference**: The document does not mention specific article numbers for eligibility criteria.
- **Summary**:
  - The document does not specify detailed eligibility criteria such as tenure, employment type, or job characteristics for telework.

### F","- **Article Reference**: Article 1
- **Summary**:
  - Employees can telework up to 2 days per week.
  - A minimum presence of 3 days per week in the office is required to maintain social cohesion.

### A","- **Article Reference**: Article 1
- **Summary**:
  - Telework days are fixed and can be any day of the week.
  - Telework days are determined with the manager and must be validated by each director based on the service's overall organization.
  - Telework days can be rescheduled or canceled if required by service needs.
  - Unused telework days cannot be carried over to another week.

### C","- **Article Reference**: The document does not mention specific article numbers for cost coverage.
- **Summary**:
  - The document does not mention coverage of costs associated with telework, such as IT setup or meal allowance.

### P","- **Article Reference**: Article 2
- **Summary**:
  - Emphasis on respecting guidelines related to screen work, posture, and disconnection.
  - Employees must have a suitable workspace and declare their situation to their insurance company.
  - Practical guides on telework are available on the intranet in the Human Resources section.

This summary adheres to the 300-token limit and provides a clear overview of the company's telework policy based on the provided document.",ACCOTEXT000042466656
11,"- **Article Reference**: Chapter 2
- **Summary**:
  - Eligible employees include those on permanent (CDI) and fixed-term (CDD) contracts.
  - Both full-time and part-time employees are eligible.

### F","- **Article Reference**: Chapter 7, Article 1
- **Summary**:
  - The document does not specify the exact frequency of telework allowed.

### A","- **Article Reference**: Chapter 7, Article 1
- **Summary**:
  - Telework arrangements are established through a distinct agreement.
  - The document does not specify if permission must be obtained or if managers have discretion over telework.

### C","- **Article Reference**: The document does not mention costs.
- **Summary**:
  - The document does not mention coverage of costs associated with telework.

### P","- **Article Reference**: Chapter 7, Article 2
- **Summary**:
  - Employees are reminded regularly that they do not need to read or respond to emails or messages outside of working hours or during rest days.
  - The right to disconnect does not apply during on-call duties or emergency situations affecting safety or integrity.
  - A charter on the proper use of email is in place to reduce pressure and improve email management.",ACCOTEXT000042477242
12,"- **Article 1.2**: 
  - Minimum tenure of 6 months in the current position.
  - Access to work tools via secure connection.
  - Necessary IT equipment in place.
  - Autonomy and self-discipline required.
  - Specific criteria for employees with disabilities, evaluated with the manager and HR.

### F","- **Article 3.1**:
  - Telework is allowed for 1 or 2 fixed days per week, as approved by the manager.

### A","- **Article 2.1**:
  - Telework is voluntary and requires a written request at least 1 month in advance.
  - Manager decides the final telework days based on departmental needs.
  - An addendum to the employment contract is created upon approval.

### C","- **Article 4.3**:
  - Teleworkers are entitled to meal vouchers (tickets restaurant).

### P","- **Article 5.4**:
  - Teleworkers have the same rights as office workers, including daily rest periods and the right to disconnect.

The document does not mention any additional specific provisions for the right to disconnect beyond the general statement in Article 5.4.",ACCOTEXT000042477243
13,"- **Article 1.1**: Telework is available to all employees working on projects in France and abroad, as well as those at the headquarters.
- **Criteria**: Only employees with a permanent contract (CDI) and at least six months of tenure are eligible, provided their job functions can be performed from home.

### F","- **Article 1.6**: Employees are allowed to telework up to four days per month.
- **Office Presence**: Managers may restrict telework to ensure service continuity, such as requiring office presence one day per week for meetings.

### A","- **Article 2.1**: Telework is voluntary and requires mutual agreement.
- **Approval**: Final approval for telework on French projects must come from the Project Director. Requests must be submitted to the immediate supervisor.
- **Article 1.3**: Telework can be reversed unilaterally by either party with a two-month notice period.

### C","- **Article 1.7**: The company provides a daily allowance to cover telework-related expenses. This allowance is subject to social security contributions and taxes.

### P","- **Article 1.5**: Telework should primarily be conducted from the employee's home, but other locations can be approved if they meet connectivity and confidentiality requirements.
- **Right to Disconnect**: The document does not mention specific provisions for the right to disconnect.

This summary adheres to the 300-token limit and provides a clear overview of the telework policy for employees.",ACCOTEXT000042495961
14,"(Article 1, Section E, Subsection 3)
- **Eligible Workers**: Employees who have completed their probationary period.
- **Job Characteristics**: Positions that can be performed remotely without affecting service quality.
- **Managerial Discretion**: Managers assess eligibility based on job requirements and team configuration.

### F","(Article 1, Section E, Subsection 2.2)
- **Telework Days**: Between 1 and 8 days per month.
- **Consecutive Days**: No more than 3 consecutive days of telework.
- **Special Cases**: Frequency can be increased for specific situations (e.g., pregnancy, disability) after discussion with the manager and HR.

### A","(Article 1, Section E, Subsection 4)
- **Request Process**: Employees must submit a formal written request.
- **Manager Approval**: Managers, in consultation with HR, decide on the request.
- **Adaptation Period**: A 2-month trial period to assess suitability.

### C","(Article 1, Section E, Subsection 5.3)
- **IT Setup**: Company ensures necessary professional equipment (e.g., VPN, laptop).
- **Additional Costs**: Employees bear costs for home office setup (e.g., furniture, internet).

### P","(Article 3, Section E)
- **Right to Disconnect**: Employees are not required to respond to work communications between 8 PM and 8 AM, during rest periods, or on leave.
- **Data Security**: Employees must ensure confidentiality and security of work data.

The document does not mention meal allowance.",ACCOTEXT000042477259
15,"- **Article 2.1.1**: Eligible employees must have completed their probation period, be capable of working autonomously, and their job must be suitable for remote work.
- **Article 2.1.2**: Apprentices, interns, and roles requiring physical presence are excluded.
- **Article 2.1.3**: Special provisions for pregnant employees and those with disabilities.

### F","- **Article 4.2**: Telework is limited to 1 day per week, non-cumulative.
- **Article 4.2**: Part-time employees can telework 1 day every two weeks.

### A","- **Article 2.1**: Employees must request telework, which requires approval from their manager and HR.
- **Article 2.2**: Telework is voluntary and must be formalized in writing.
- **Article 2.3**: A 7-day notice period is required for telework days.

### C","- **Article 6**: The company does not cover any costs related to telework.

### P","- **Article 3.1**: Employees cannot be contacted outside of specified hours (8:00-20:00 for those on a fixed schedule).
- **Article 3.2**: The company provides necessary IT equipment and ensures data security.

The document does not mention meal allowances.",ACCOTEXT000042495978
16,"- **Article 1.1.b**
  - Employees must occupy a position that can be performed remotely and is compatible with the service's proper functioning.
  - Positions requiring physical presence, such as public-facing roles, are excluded.
  - Employees must have sufficient autonomy, validated by their manager.
  - Employees must have a secure high-speed internet connection and a dedicated workspace at home.

### F","- **Article 1.1.a**
  - Regular telework: Fixed number of days per week.
- **Article 1.2.a**
  - Annual telework package: Up to 20 days per year, with a maximum of one day per week.
- **Article 1.3.a**
  - Occasional telework: For exceptional situations, not counted in the annual package.

### A","- **Article 1.1.b**
  - Telework arrangements require manager approval.
  - Managers assess the maximum number of teleworkers in their team.
- **Article 1.3.a**
  - Occasional telework requires written approval from the manager.

### C","- **Article 1.3.a**
  - Occasional telework does not provide any indemnification.
- **Article 1.1.b**
  - Employees must use employer-provided IT equipment.

### P","- **The document does not mention privacy provisions.**

This summary adheres to the 300-token limit and provides a clear overview of the telework policy for employees.",ACCOTEXT000042495979
17,"(Article 3)
- All employees whose job duties are compatible with remote work are eligible.
- Employees must have demonstrated a certain level of autonomy in their tasks.
- The manager assesses the employee's autonomy, potentially consulting with HR.

### F","(Article 4)
- Employees must be present in the office at least 2 days per week.
- The specific days for office presence are determined by the manager based on various factors, including team needs and overall office occupancy.
- Managers can request additional office presence based on specific tasks or projects.

### A","(Article 4)
- Telework arrangements require manager approval.
- The manager has discretion over the days employees work remotely and can request changes based on operational needs.
- Special individual circumstances can lead to adapted telework arrangements, agreed upon by the employee, manager, and HR (Article 5).

### C","(Article 6)
- Employees receive a flat-rate telework allowance of 20 euros per month to cover common home office expenses.
- This allowance is retroactive from September 1, 2020.
- Long-term absences negate the allowance, but telework does not affect public transport reimbursement.

### P","(Article 7)
- Employees must be reachable during work hours via provided professional tools and a personal mobile number.
- The personal mobile number is used for emergencies and technical issues.
- Employees must return to the office or discuss alternatives with their manager if they cannot work remotely.

The document does not mention specific provisions for the right to disconnect.",ACCOTEXT000042495983
18,"- **Article 2**: 
  - All employees of FUTURMASTER and FUTURMASTER France are eligible.
  - Must have a home suitable for telework.
  - Job roles requiring physical presence on-site or at a client location are not eligible unless the client provides written consent.

### F","- **Article 5**: 
  - Maximum of three (3) days per week for full-time employees.
  - Part-time employees can telework up to two (2) days per week.
  - All weekdays are eligible for telework.
  - Employees must be available to come to the office for meetings with 48 hours' notice.

### A","- **Article 3**: 
  - Telework is voluntary and requires approval from the employee’s direct manager.
  - Requests must be submitted in writing (email or hand-delivered letter).
  - An interview will be conducted to decide on the request.
  - Written response within eight (8) days.
  - Reasons for denial include ineligibility or risk of operational disruption.

### C","- The document does not mention costs.

### P",- The document does not mention privacy.,ACCOTEXT000042525951
19,"(Article 3.1)
- **Eligible Workers**: Employees with a contractual work time of at least 4/5th.
- **Ineligible Workers**: 
  - Fixed-term contract employees (except ""thésards"", ""post-doctorants"", temporary foreign collaborators, and CDDOD).
  - Apprentices.
  - Employees on secondment or expatriation.
  - Employees whose roles require daily and permanent presence on-site.

### F","(Article 3.3)
- **Telework Regularity**: 
  - Three annual packages: 40 days (1 day/week), 60 days (1.5 days/week), and 80 days (2 days/week).
- **Minimum Office Presence**: Remaining days must be worked on-site.

### A","(Article 3.2.1)
- **Process**:
  - Employees must submit a formal request via a digital form to their manager and the General Secretariat at least three months in advance.
  - The manager provides an opinion, and the General Secretariat makes the final decision.
  - Requests can be denied or postponed with written justification.

### C","(Article 3.4)
- **Cost Coverage**:
  - IRSN provides a daily allowance of €1.50 for telework-related expenses (electricity, internet, etc.).
  - Payment is made annually based on the actual number of telework days.

### P","(Article 3.6)
- **Right to Disconnect**: Not explicitly mentioned.
- **Privacy Provisions**:
  - Employees must adhere to the IRSN's information security policies.
  - Telework equipment provided by IRSN must be used responsibly and securely.

The document does not mention the right to disconnect explicitly.",ACCOTEXT000042516908
20,"(Article not specified)**

- The document does not mention eligibility criteria for telework.

*","(Article not specified)**

- The document does not mention the frequency of telework allowed.

*","(Article 1 & 2)**

- The telework agreement from September 22, 2017, is extended.
- New negotiations will occur to establish a new telework agreement.
- The current extension remains until a new agreement or charter is applied.
- Early termination of the extension is possible if stipulated in the new agreement or charter.

*","(Article not specified)**

- The document does not mention the coverage of costs associated with telework.

*","(Article not specified)**

- The document does not mention provisions for the right to disconnect and the privacy of the worker.",ACCOTEXT000042525955
