,Eligibility,Frequency,Arrangements,Costs,Privacy,doc
0,"The telework policy applies to all employees of Fichet Technologies, excluding those on short-term contracts, apprentices, and interns. Eligible employees must have an autonomous role, work at least 80% of full-time hours, have a stable internet connection, and have a dedicated workspace at home.
2. F","Telework is allowed for up to two days per week, with a minimum of one day in the office. The company may adjust the frequency based on operational needs and employee requests.
3. A","Employees must submit a formal request for telework, which will be reviewed by their manager and HR. Approval is granted based on job compatibility, employee eligibility, and company needs.
4. C","The company provides eligible employees with necessary equipment and software for telework. Employees are responsible for maintaining their internet connection and ensuring a suitable workspace.
5. P","The company respects employees' right to disconnect and encourages them to maintain a healthy work-life balance. Teleworkers are expected to adhere to the company's standard work hours and take regular breaks.

Note: The document does not explicitly mention meal allowance or the right to disconnect.",T06722010691-40979012800030
1,"**
- Eligible workers are those in CDI or CDD, with at least 80% work duration.
- Postes eligible for telework are those that can be performed remotely without affecting the quality of communication and collaboration.
- Postes that require physical presence or have specific security, material, or software requirements are not eligible.
- The document does not mention apprentices or contractual workers explicitly, but they may be eligible based on their expertise and autonomy.

*","**
- Telework is allowed up to two days per week, with no more than two consecutive days.
- Days cannot be carried over to the following week or used after an absence.
- A day of telework cannot follow an absence or be part of a split shift.

*","**
- Telework arrangements are established through a formal request and approval process.
- The manager has discretion over the allowability of telework.
- The document does not mention the specifics of the process or the duration of the approval.

*","**
- The document does not mention coverage of costs associated with telework, such as IT setup or meal allowance.

*","**
- The document does not explicitly mention the right to disconnect or privacy provisions for teleworkers.

Please note that this summary is within the 300-token limit and may not cover all aspects of the company's telework policy. For a complete understanding, refer to the original document.",T07822011202-56206815500026
2,"Employees eligible for telework include those with at least 18 months of tenure and 12 months on the post requested, with a cadre or non-cadre contract. They must have a high level of autonomy and use T.I.C. in their functions, have adequate conditions for a dedicated workspace, and not require a tutor or formator. Commercial itinerants are not considered teleworkers unless they perform seditary activities.
2. F","Telework is allowed for 12 to 24 days per year, with a maximum of 2 days per month.
3. A","Employees must submit a written request to the Direction des Ressources Humaines, who will consult the manager for approval. The manager will assess the employee's motivation and eligibility criteria. If approved, an avenant to the contract will be signed to confirm the agreement and specify the terms.
4. C","The company provides the necessary equipment for telework, including an ordinateur, telephone, and software. The employee is responsible for ensuring a safe and ergonomic workspace and must provide an attestation of multirisk habitation insurance.
5. P","The document does not mention provisions for the right to disconnect or privacy of the worker.

Note: The response is within the 300-token limit.",T06219002671-34867375700038
3,"All employees of La CIPAV are eligible for telework, except those in specific roles requiring on-site presence, such as Services Généraux, Accueil physique, and Help Desk. Postes in these services can perform certain tasks remotely (Article 2).
- *","Eligible employees can telework 1-2 days per week, while those in non-eligible roles can telework 1 day per week. Part-time employees work at least 1 day on-site (Article 3).
- *","Managers create weekly or monthly plans for telework days, and employees cannot choose their days. Plans are shared with the team by Thursday of the previous week (Article 3).
- *","The document does not mention cost coverage for telework.
- *","The right to disconnect is recognized, and telework is proscribed during vacations, suspension of the contract, and certain training sessions (Article 5).

The document does not mention the process for establishing telework arrangements or provisions for privacy beyond the right to disconnect.",T07521030030-32194419100030
4,"The telework policy applies to all employees of Rouen Habitat who have a permanent or temporary contract, work full-time or part-time above 50%, and have been employed for at least six months. Employees must have an autonomous and responsible role, a suitable workspace at home, and adequate internet connection. The employee's role must not require constant physical presence at the office, and at least 50% of the role should be feasible remotely (Article 9).
- *","Telework is allowed for a maximum of 40 days per year, prorated for part-time employees. The number of telework days per week is limited to two, except in exceptional circumstances (Article 10).
- *","Telework arrangements are established through a mutual agreement between the employee and their manager. The employee must submit a request via the GTA system, and the manager will review the request based on the employee's eligibility and the nature of their role (Article 11).
- *","The company covers the costs associated with telework through a forfaitary indemnity of 2 euros per day. This covers electricity, insurance, personal materials, and internet connection. Employees must perform large paper-based tasks at the office (Article 7).
- *","The company respects the right to disconnect and the employee's privacy. During telework, the employee must be reachable and available for work-related communication. The company provides technical support for installing and using telework tools (Article 6).

The document does not mention specific provisions for the right to disconnect or privacy beyond the general statements in Article 6.",T07621006119-38839724200016
5,"All permanent and fixed-term contract employees with at least six months of seniority in their position, working at least 80% of full-time hours, and having completed their probationary period are eligible for telework (Article 2.2).
- *","Telework is allowed for one day per week, with the possibility of teleworking every two weeks or once a month (Article 3.1.2).
- *","Telework arrangements are established through a written request to the direct supervisor and HR department, with a response provided within one month. A one-year renewable contract addendum is then signed (Article 3.1.1).
- *","The company does not cover any costs associated with telework, such as IT setup or meal allowances (Article 3.7).
- *","The document does not mention provisions for the right to disconnect or privacy of the worker.

Note: The document does not explicitly address the right to disconnect or privacy of the worker. It is essential to consider these aspects when implementing telework policies to ensure employees' well-being and work-life balance.",T06919003926-96750596700018
6,"- Eligible workers are those with a CDI or CDD contract, working full-time, with at least one year of seniority in the company, and not in apprenticeship or professionalization contracts, or as interns.
- Excluded are those in part-time contracts, apprentices, professionalization contract holders, interns, and those with less than one year of seniority.
- Temporary workers and employees on training courses are also ineligible.
- The employee's job must be compatible with telework, and they must have the necessary autonomy and professional skills.

F","- Telework is allowed up to one day per week, with a minimum of four days on-site.
- The day of telework is flexible and can be changed if necessary.
- The document does not mention specific requirements for the employee's presence in the office.

A","- Telework arrangements are established through a voluntary request from the employee, followed by an examination of the request by the manager and the HR department.
- The employee must meet the eligibility criteria and have the necessary autonomy and professional skills.
- The manager and HR department will assess the request based on the employee's job and the company's needs.

C","- The document does not mention any coverage of costs associated with telework.

P","- The document does not mention provisions for the right to disconnect or the privacy of the worker.

The document does not mention specific details about the coverage of costs associated with telework or provisions for the right to disconnect and the privacy of the worker.",T06221006351-44997095300021
7,"* The telework policy applies to all employees of L’Hôpital Saint-Camille with a CDI or CDD of 18 months minimum, who have been continuously employed for at least one year, work at least 50% of full-time hours, and have a stable internet connection at home. Certain cases may be exceptions to these rules (Article 3).

*","* Telework is allowed up to 2 days per week for full-time employees and 1 day per week for part-time employees. The document does not mention any specific minimum requirements for the employee’s presence in the office.

*","* The telework arrangement process involves the employee and manager completing an autodiagnostic questionnaire to determine eligibility and feasibility. The employee must submit a written request to the DRH for approval, and the manager must provide a written response. The document does not mention whether the manager has discretion over the allowability of telework.

*","* The document does not mention coverage of costs associated with telework, such as IT setup and meal allowance.

*","* The document does not mention provisions for the right to disconnect and the privacy of the worker.

Note: The document does not mention Article numbers for each category. The response is based on the provided text.",T09421007001-78566512600021
8,"All full-time employees working in France, who have completed their probationary period and have a post that doesn't require physical presence are eligible. Excluded are apprentices, professional trainees, part-time workers with a work time below 80%, and those with insufficient autonomy or identified as underperforming. (Article 4.2)
- *","Eligible employees can telework 1 day per week, either fixed or flexible. Fixed telework is on the same day each week, while flexible telework can be taken as needed within certain limits. (Article 3.1.1 and 3.1.2)
- *","Employees must submit a written request to their manager and HR. The manager and HR will assess the request based on the employee's role, the team's needs, and the employee's performance. (Article 4.1 and 5.1)
- *","The company does not cover any additional costs associated with telework, such as internet or electricity. (Article 6.2)
- *","The document does not mention specific provisions for the right to disconnect or privacy. However, it emphasizes the importance of maintaining a balance between professional and personal life. (Not mentioned)",T09220018815-40231646700057
9,"- Eligible workers are those in CDI or CDD, excluding apprenticeships and professional contracts (Article 2.2).
- Eligible positions are those that can be performed remotely and do not require physical presence in the company or interaction with customers or employees (Article 2.1).
- Eligible personnel for Navigant Commercial are limited to specific roles (Article 2.1).

F","- Telework is allowed for a maximum of 5 days per month for Sol personnel and 2 days per month for Navigant Commercial personnel (Article 5.1).
- Days can be taken as full or half days, and cannot be taken consecutively (Article 5.1).

A","- Telework arrangements are established through a written request by the employee and approval by the manager (Article 3.1).
- The manager has discretion to accept or reject the request based on eligibility criteria (Article 3.2).
- A three-month adaptation period is provided for both the employee and manager to assess the arrangement (Article 4.1).

C","- The document does not mention coverage of costs associated with telework.

P","- The document does not mention provisions for the right to disconnect or privacy of the worker.

Note: The document does not explicitly address all topics, and some sections may require further clarification or interpretation.",A09418007058-32862158600143
