,Eligibility,Frequency,Arrangements,Costs,Privacy,doc
0,"The telework policy applies to full-time or part-time (80% minimum) employees with a minimum of one year of tenure and one year in their current position. Eligible employees must have job functions that can be partially and regularly performed at a distance, and have a suitable workspace at home with high-speed internet access.
2. F","Telework is allowed for one day per week, with exceptions for force majeure or exceptional circumstances.
3. A","Telework arrangements are established through a formal request and approval process. The manager has discretion over the allowability of telework.
4. C","The document does not mention coverage of costs associated with telework, such as IT setup or meal allowance.
5. P","The document does not explicitly address the right to disconnect or privacy provisions for teleworkers.

Note: The document does not mention specific topics such as the right to disconnect, privacy provisions, or cost coverage for telework.",T07821008741-78503905800017
1,"- Eligible workers are CDI employees with at least 6 months tenure in the company and their role.
- Excluded workers include those with insufficient tenure, interns, and apprentices.
- The document does not mention eligibility for part-time or temporary workers.

*","- Telework is allowed 1 day per week or every two weeks, depending on the employee's role and manager's approval.
- The document does not mention minimum requirements for office presence.

*","- Telework arrangements are established through a formal request to the manager and HR.
- The manager has discretion over the allowability of telework.
- The document does not mention a specific process for establishing telework arrangements.

*","- The company does not cover IT setup costs or meal allowances for telework.
- The document does not mention any other costs associated with telework.

*","- The document does not explicitly mention the right to disconnect or privacy provisions for teleworkers.
- The document does mention that the telework relationship is based on trust and autonomy.

The document does not mention specific policies for telework frequency, arrangements, or privacy. It is recommended to consult the full document for more information.",T04220002555-39208993400013
2,"All full-time or part-time employees with a permanent contract, excluding those with alternating contracts, are eligible for telework. The employee's role must be compatible with telework, and they must have the necessary autonomy and professional skills. The employee must also have a dedicated workspace at home that meets technical requirements (Article 2.2).
- *","Eligible employees can telework up to two days per week, with fixed days determined by the service (Mondays and Fridays, excluding specific cases). The days cannot be carried over if not used (Article 4.1.1).
- *","To establish telework arrangements, employees must submit a motivated request to their manager and the Human Resources department. The manager and HR will respond within one month. If approved, an amendment to the employment contract will be made (Article 3.1 and 3.2).
- *","The company will cover the costs of internet access and electricity for telework. The amount depends on the number of telework days (10€ for 1 day, 20€ for 2 days, and 30€ for 3 or more days) (Article 5.1.4).
- *","The right to disconnect is recognized, and teleworkers must separate their professional and personal lives. The company provides training on telework and the right to disconnect (Article 6.3 and 6.4). The document does not explicitly mention privacy provisions.

The document does not mention specific provisions for the right to disconnect and privacy. However, the company acknowledges the importance of separating professional and personal life and provides training on telework and the right to disconnect.",T02121003963-39216678100014
3,"Eligible workers are cadres with a coefficient of at least 2.2, have a permanent contract or a fixed-term contract of at least one year, and have a compatible home for telework (Article 2).
- *","Telework is allowed up to two days per week, with exceptions during intemperie or pandemics (Article 8).
- *","Telework arrangements are established through a voluntary request by the employee, followed by an entitlement check by the manager and HR. A response is given within two months (Article 3).
- *","The company provides the necessary equipment for telework, and the employee is responsible for maintaining it (Article 10).
- *","The document does not explicitly mention the right to disconnect or privacy provisions. However, it emphasizes the importance of respecting the employee's private life and home environment (Article 15).",T09219011709-39351567100047
4,"- The document does not mention specific criteria for eligibility.

*","- Telework is allowed for a maximum of 1 day per week.
- The employee must be present in the office for a minimum of 3 days per week.

*","- The employee must submit a written request for telework to their manager, who has discretion over the allowability of telework.
- The manager and employee will establish a telework agreement that outlines the terms and conditions of the arrangement.

*","- The document does not mention coverage of costs associated with telework.

*","- The document does not mention provisions for the right to disconnect or the privacy of the worker.

Note: The document does not mention specific details about the right to disconnect or the privacy of the worker. It is important to ensure that teleworkers have the right to disconnect and that their privacy is respected. Employers should establish clear policies and procedures to protect the rights and privacy of teleworkers.",T03722003171-77534138100181
5,"All full-time employees with at least 3 months of tenure and a Contrat à Durée Indéterminée or Déterminée are eligible for telework, except for those in apprenticeships, professional contracts, or internships. The employee's role must allow for remote work, and they must have the necessary autonomy and performance. The employee's absence should not disrupt the team's workflow (Article 4).
- *","Telework can be regular (once a week) or occasional and exceptional (for specific circumstances). Regular telework is on a fixed day, while occasional and exceptional telework is for unforeseen events or preconized by the medical staff (Article 5).
- *","Employees must submit a written request for telework to their supervisor, who will then discuss the feasibility and formalize the agreement in an avenant for one year. The employee can request a change of location, and the employer can suspend telework for specific reasons (Article 6.2.1, 6.2.2, 6.2.3, 7.2).
- *","The company does not cover any costs related to telework, as employees have an adequate workspace in the office. Employees are responsible for their internet connection and any necessary adaptations to their home office (Article 6.2.1).
- *","The right to disconnect is recognized, and the employee must be reachable during their regular work hours. The employee must ensure their home office complies with safety and confidentiality regulations (Article 9.2, 9.4, 9.5).

The document does not mention specific provisions for the right to disconnect and privacy beyond the general guidelines.",T06920013343-81457429900032
6,"The telework policy applies to full-time employees with at least six months of tenure in their role. Eligible positions are those that can be performed autonomously and do not require physical presence at the workplace. The document does not mention specific criteria for job characteristics or employment types (Article 1).
- *","Telework is allowed one day per week, either Tuesday or Thursday, with the possibility of modification due to service or personal needs (Article 2).
- *","Employees must submit a written request to their manager and the HR department. Approval is based on eligibility criteria and the compatibility of the role with telework. A three-month probationary period is mandatory (Article 2).
- *","The company provides an internet connection, computer, and VPN access. Employees are responsible for their own workspace and internet costs. The document does not mention IT setup or meal allowance (Article 3).
- *","The right to disconnect is recognized, with employees required to respect the same working hours as in-person staff. The document does not explicitly address privacy concerns (Article 4).

The document does not mention specific details about the right to disconnect or privacy provisions.",T07621006726-50387818300030
7,"- Eligible workers are those with a CDI or CDD contract, with at least 12 months of tenure, including the probationary period (Article 5).
- The employee must have the necessary autonomy to perform their tasks without supervision or technical assistance and have adequate IT skills (Article 5).

F","- Telework is allowed for a maximum of 8 days per month or two days per week (Article 9.2).
- The employee must be present at the workplace for at least 3 days per week, including all types of absences (Article 9.2).

A","- Telework arrangements are established through a tripartite agreement between the employee, their manager, and the HR department (Article 8).
- The employee must submit a request to their manager, who will determine the telework eligibility based on the criteria defined in the agreement (Article 8).

C","- The document does not mention any coverage of costs associated with telework.

P","- The right to disconnect is recognized and applies to teleworkers (Article 12.2).
- The document does not explicitly mention provisions for the privacy of the worker.

Confidence: 95% of the users enjoyed this post.",T06318000371-50966783800023
8,"Employees with at least 4 months of tenure in eligible activities (transport, logistics, administration, and support functions) are eligible for telework (Article 3.1, 3.2).
- F","Telework is allowed up to 3 days per week, with flexibility for exceptional circumstances (Article 10).
- A","Telework arrangements are established through a written request by the employee and manager's approval. Reasons for refusal must be communicated (Article 4).
- C","The company covers costs associated with telework, including installation and maintenance of equipment. Employees receive a daily allowance of 1€ per day of telework (Article 12, 13).
- P","The document does not explicitly mention provisions for the right to disconnect or privacy. However, it encourages respect for confidentiality and data protection (Article 15).

Note: The document does not mention specific provisions for the frequency of telework or the process for establishing telework arrangements. It is assumed that the company has internal policies and procedures for these topics.",T04420007079-75343081800033
9,"- Eligible workers are those with a permanent contract, working full-time or part-time with a minimum of 80% of full-time hours, and have at least 6 months of seniority in the company (Article 2.1).

F","- Telework is allowed for a maximum of 2 days per week, with a minimum of one day in the office (Article 3.2).

A","- Telework arrangements are established through a formal request process, with the manager having discretion over the allowability of telework (Article 3.1).

C","- The document does not mention coverage of costs associated with telework.

P","- The document includes provisions for the right to disconnect and the privacy of the worker (Article 4.8).

Note: The document does not mention specific provisions for IT setup or meal allowance.",T06222006654-30266479200116
