,Eligibility,Frequency,Arrangements,Costs,Privacy,doc
0,"- Eligible workers are those with a CDI or CDD, full or part-time (minimum 80%), and 12 months tenure in their post within the UES. Exceptions can be made based on experience and autonomy with work tools (Article 2).

F","- Telework is allowed up to 1 day per quinzaine (two-week period) for telework récurrent. Telework occasionnel and exceptionnel are also possible (Article 4).

A","- Telework arrangements are established through a voluntary, mutual agreement between the employee and employer. The manager and DRH must approve the arrangement (Article 3).

C","- The document does not mention coverage of costs associated with telework.

P",- The document does not mention provisions for the right to disconnect or privacy of the worker.,T03820004442-81532207800024
1,"Workers eligible for telework include those in administrative or medical roles who have been with the company for at least six months and work full-time. Excluded are apprentices, interns, and those in technical or logistical roles requiring on-site presence. The document does not mention tenure or job characteristics as criteria (Article 3).

- *","Telework is allowed one day per week, determined by mutual agreement between the employee and supervisor (Article 9).

- *","Telework arrangements are established through a written request by the employee to their supervisor, who has one month to accept or refuse. Refusal must be justified (Article 4).

- *","The company provides an allocation of 2.5 euros per day of telework. The document does not mention IT setup or meal allowance (Article 12).

- *","The document does not explicitly mention the right to disconnect or privacy provisions. However, it does emphasize the importance of confidentiality and data protection (Article 14).",T06422005094-31675460500012
2,"- Eligible workers: All employees with at least 6 months of seniority, excluding those with jobs requiring physical presence or daily manager interaction (Article 2.2).

*","- Telework allowed up to 3 days per week for R&D and up to 2 days per week for manufacturing (Article 2.4).

*","- Voluntary basis for both employee and manager, subject to eligibility and manager approval (Article 2.3).

*","- No specific mention of cost coverage in the document.

*","- The document does not mention provisions for the right to disconnect or privacy.

Note: The document does not explicitly address all the requested categories. It is essential to consult the original document for more detailed information.",T02821002310-34169763900050
3,"- All employees of the company are eligible for telework, regardless of their employment type or job characteristics (Article 2).

F","- Telework is authorized by demi-day and day, with no specific requirement for the employee's presence in the office (Article 2).

A","- Telework arrangements are established through a flexible process, with no specific permission required. The manager has discretion over the allowability of telework (Article 2).

C","- The document does not mention any coverage of costs associated with telework.

P","- The document does not mention provisions for the right to disconnect or the privacy of the worker.

Note: The document does not mention specific criteria for eligibility, such as tenure or job characteristics. It also does not provide specific details on the coverage of costs associated with telework or provisions for the right to disconnect and the privacy of the worker.",T04422015199-44426968200027
4,"Yokogawa France's telework policy applies to all employees with at least six months of tenure in their current position, excluding apprentices and professional trainees. The employee must be in a full-time contract and have a role that can be performed remotely without disrupting the service. (Article 4.1)
- *","Telework is allowed one day per week, either Tuesday or Thursday, based on the employee's choice and manager's approval. (Article 5)
- *","Employees must submit a written request to their manager and HR. The manager and HR have one month to respond. If approved, an amendment to the employment contract is made for a maximum of 12 months. (Article 4.2)
- *","The company covers the cost of a secure laptop and any necessary software. Employees are responsible for their internet connection and any additional costs related to their home office setup. (Article 4)
- *","The right to disconnect is recognized, and employees are expected to be reachable during their regular working hours. The company provides a 7h42 credit for badge-enabled employees. (Article 4.2)

The document does not mention specific provisions for the right to disconnect and privacy beyond the above points.",T07818000988-38803452200085
5,"- Eligible employees are those with a permanent or fixed-term contract, working full-time for more than 6 months, in a role that can be performed remotely with appropriate tools and an autonomous work style (Article 2).
- Alternants are not eligible for telework (Article 2).
- Employees with RQTH are eligible for telework if their tools and workspace at home are compatible with their medical restrictions (Article 2).

*","- Telework is allowed up to 2 days per week, with a minimum of one mandatory day in the office (Article 4).
- Days in the office are not transferable to another week (Article 4).

*","- Telework arrangements are established through a written request from the employee to their manager, with an attestation of eligibility and completion of a telework training module (Article 3).
- The manager has discretion to approve or deny the request (Article 3).

*","- The company does not cover any costs associated with telework (Article 5).
- Employees are responsible for their own internet connection, workspace, and equipment (Article 5).

*","- The document does not mention provisions for the right to disconnect or privacy of the worker (Article 6).

Note: The document does not mention the right to disconnect or privacy provisions for teleworkers. It is essential to address these concerns to ensure a healthy work-life balance and employee well-being.",T00622006975-37934891500057
6,"- The telework policy applies to all full-time employees with a minimum of one year of tenure in the company, excluding apprentices, part-time workers, and those with positions requiring constant on-site presence. (Article 2)

*","- Telework is allowed up to 4 days per month, with a maximum of 2 consecutive days per week. It is not permitted on Fridays. (Article 4)

*","- Telework arrangements are established through a voluntary request by the employee and an assessment of their autonomy, post, service organization, and technical compatibility. The manager has discretion in approving the request. (Article 3)

*","- The document does not mention any coverage of costs associated with telework, such as IT setup or meal allowance.

*",- The document does not explicitly address the right to disconnect or privacy of the worker in the context of telework.,T03520006447-84251422600013
7,"- Eligible workers are those with a CDI, 18 months of seniority in the company, and 12 months of effective work on the position.
- They must work at least 80% and be present in the office for at least 3 days per week.
- The employee must have a dedicated and suitable workspace at home, a high-speed internet connection, and an electrical installation that complies with regulations.
- The employee's role must be compatible with telework in terms of security, confidentiality, and team organization.
- Excluded are apprentices, professionalization contract holders, alternates, interns, and employees whose functions require regular and significant absences or access to confidential data.

*","- Telework is allowed 1 or 2 non-fractionable days per week, or 1.5 days per week for 90% employees.
- Days are fixed and agreed upon between the employee and their manager.
- In exceptional cases, certain days initially planned for telework can be performed on-site.

*","- Telework arrangements are established through a formal request to the HR department one month prior to the desired start date.
- The manager and HR review the request and provide a response within one month.
- If approved, an avenant to the contract is signed.

*","- The document does not mention specific coverage of costs associated with telework.

*","- The employer is required to respect the teleworker's privacy and set specific contact hours.
- The teleworker is expected to manage their time and use outdated tools responsibly.
- The document does not explicitly mention the right to disconnect.",T03120007096-30057094200056
8,"- Workers eligible for telework are salaried, sédentary employees with at least 6 months of tenure.
   - Excluded are those with contracts of less than one year, those with rotating or post schedules, and those with time part-time contracts below 80%.
   - The document does not mention specific job characteristics or managerial discretion.

2. F","- Telework is allowed up to 40% of the working time, or 2 days per week.
   - The weekly limit is 2 days, and the monthly limit is 6 days.
   - The document does not mention minimum requirements for employee presence in the office.

3. A","- Telework arrangements are established by signing an avenant to the employment contract.
   - The document does not mention specific procedures for obtaining permission or managerial discretion.

4. C","- The company provides necessary equipment for telework, including laptops, software, and secure access.
   - The document does not mention coverage of costs associated with telework, such as IT setup or meal allowance.

5. P","- The document mentions the right to disconnect and the need to respect the employee's private life.
   - The document does not explicitly mention provisions for privacy during telework.

Note: The document does not mention the possibility of extending telework beyond the 40% limit in specific circumstances.",T02920003604-85106913800010
9,"- Eligible workers: Full-time or 80%+ CDI or CDD employees with at least 12 months tenure and considered autonomous in their role.
- Ineligible workers: Apprentices, interns, part-time workers, and those with non-compatible roles.
- Eligible job types: Not specified in the document.

*","- Telework allowed: 1 day per week, or 2 days per month for part-time eligible roles.
- Minimum office presence: Not specified in the document.

*","- Permission required: Yes, manager approval needed.
- Manager discretion: Yes, managers can refuse telework for service needs.
- Formalization: Written request and acceptance required.

*","- IT setup: Covered by the company.
- Meal allowance: Not mentioned in the document.

*","- Right to disconnect: Yes, no contact before 8:00 or after 19:00.
- Privacy protection: Not explicitly mentioned in the document.

The document does not mention specific provisions for the right to disconnect and privacy protection.",T09219015484-30515140900136
