,Eligibility,Frequency,Arrangements,Costs,Privacy,doc
0,"- **Article 1**: Telework is accessible only after the completion of the probationary period to ensure proper integration into the company, team, and job role.

### F","- **Article 3**: Occasional telework is allowed for unusual or emergency situations (e.g., public transport strikes, exceptional weather conditions, personal emergencies). The document does not specify a regular frequency for telework.

### A","- **Article 2**: Telework requires the signing of an addendum to the employment contract, valid for a maximum of one year. Renewal is possible through mutual written agreement after a discussion during the annual review or an ad hoc meeting.
- **Article 3**: For occasional telework, the manager's approval must be obtained and can be formalized via a simple email.

### C","- The document does not mention costs associated with telework.

### P",- The document does not mention provisions for the right to disconnect and the privacy of the worker.,ACCOTEXT000037597520
1,"- **Article 2.1**: 
  - Employees must be able to work autonomously and remotely.
  - Eligibility is based on job nature, autonomy level, and ability to work outside the office.
  - Must have completed the probation period.

### F","- **Chapter 1**:
  - Up to 4 days per month.
  - Cannot be combined with regular telework.

### A","- **Article 2.2**:
  - Requires both employee and manager agreement.
  - Employee must request in writing; manager reviews eligibility.
  - **Article 3.1**: Manager responds within one month after consulting HR.
  - **Article 3.2**: Requires an addendum to the employment contract.

### C","- The document does not mention costs.

### P","- **Article 3.7**:
  - Respect for legal work hours and rest periods.
  - Company cannot contact employees outside defined working hours.
- **Article 3.10**:
  - Employees must adhere to IT security and confidentiality rules.",ACCOTEXT000037597521
2,"- **Article Reference**: Article 5
- **Summary**:
  - Currently, no form of telework is implemented within the company.
  - The company is open to evaluating the necessity of telework based on c","- **Article Reference**: Article 5
- **Summary**:
  - The document does not mention the frequency of telework allowed.

### A","- **Article Reference**: Article 5
- **Summary**:
  - Telework can be implemented through a collective agreement for both regular and occasional telework.
  - In the absence of a collective agreement, telework can be arranged by mutual agreement for occasional telework.
  - The company proposes to study the project further to determine its feasibility.

### C",", needs, and eligible positions.
  - No specific criteria for eligibility are provided at this stage.

### Frequency
- **Article Reference**: Article 5
- **Summary**:
  - The document does not mention the frequency of telework allowed.

### Arrangements
- **Article Reference**: Article 5
- **Summary**:
  - Telework can be implemented through a collective agreement for both regular and occasional telework.
  - In the absence of a collective agreement, telework can be arranged by mutual agreement for occasional telework.
  - The company proposes to study the project further to determine its feasibility.

### Costs
- **Article Reference**: Article 5
- **Summary**:
  - The document does not mention coverage of costs associated with telework.

### P","- **Article Reference**: Article 5
- **Summary**:
  - The document does not mention provisions for the right to disconnect and the privacy of the worker.",ACCOTEXT000037511568
3,,,,,,ACCOTEXT000037409619
4,"- **Article 20**: The document does not mention specific criteria for worker eligibility for telework. It only states that negotiations on telework implementation will occur in the second semester of 2018.

### F","- **Article 20**: The document does not mention the frequency of telework allowed. It only indicates that discussions on telework will be initiated.

### A","- **Article 20**: The document does not mention the process by which telework arrangements are established. It only commits to opening negotiations on telework.

### C","- **Article 20**: The document does not mention the coverage of costs associated with telework. It only states that telework negotiations will take place.

### P","- **Article 20**: The document does not mention provisions for the right to disconnect and the privacy of the worker. It only indicates that telework discussions will be initiated.

In summary, the document primarily commits to starting negotiations on telework in the second semester of 2018 but does not provide specific details on eligibility, frequency, arrangements, costs, or privacy.",ACCOTEXT000037516015
5,"(Article 8.2)
- Telework is available exclusively to cadre-level employees.
- Must have a permanent contract (CDI).
- Eligibility starts after the probation period is successfully completed.
- Requires approval from the direct manager and HR.

### F","(Article 8.3)
- Telework is limited to a maximum of two days per month.
- No more than one day per week, except in exceptional circumstances.
- Unused telework days cannot be carried over to the next month, with a one-day exception allowing a maximum of three telework days in a month.

### A","(Article 8.3)
- Telework days must be planned with a three-day notice.
- Requires manager and HR approval.
- Telework is voluntary and cannot be imposed on employees.
- In emergencies, employees may be required to return to the office, and the telework day will not be rescheduled.

### C","(Article 8.4)
- Employees must ensure their home workspace meets safety standards.
- Must provide proof of electrical compliance and insurance coverage.
- The company does not cover additional insurance or electrical compliance costs.
- No transport allowance or meal benefits on telework days.

### P","(Articles 8.6 and 9.2)
- Employees have the right to disconnect outside of working hours.
- The company will not contact employees outside their declared working hours.
- Telework does not affect the employee's right to privacy or lead to discrimination.
- Workload and deadlines are assessed similarly to in-office work.

The document does not mention any other specific topics.",ACCOTEXT000037559620
6,"- **The document does not mention eligibility.**

### F","- **The document does not mention frequency.**

### A","- **The document does not mention arrangements.**

### C","- **The document does not mention costs.**

### P","- **The document does not mention privacy.**

The document primarily focuses on the extension of the telework experimentation agreement and its formalities, without providing specific details on eligibility, frequency, arrangements, costs, or privacy.",ACCOTEXT000037298022
7,"- Workers eligible for telework include those whose job characteristics allow for remote work and who have the necessary tenure and employment type as specified in the original agreement.
- Specific criteria such as tenure and employment type are not detailed in the provided document.
- **Cited Article**: The document does not mention specific criteria for eligibility.

*","- The document does not specify the number of days per week permitted for telework or any minimum requirements for the employee’s presence in the office.
- **Cited Article**: The document does not mention frequency.

*","- Telework arrangements must be established with the capacity of the company to invest in necessary materials, as per the budget of the exercise 2018.
- Permission must be obtained, and the manager has discretion over the allowability of telework.
- **Cited Article**: Article 2

*","- The implementation of telework is subject to the company's ability to invest in necessary materials within the budget of the exercise 2018.
- The document does not mention specific coverage of costs such as IT setup or meal allowance.
- **Cited Article**: Article 2

*","- The document does not mention provisions for the right to disconnect or the privacy of the worker.
- **Cited Article**: The document does not mention privacy.",ACCOTEXT000037350307
8,"(Article 7.4.3)
- **Eligible Workers**: Employees with at least 1 year of tenure in their function.
- **Job Characteristics**: Jobs that can be effectively performed remotely, with tasks that do not require constant physical presence.
- **Employment Type**: Full-time employees and part-time employees working at least 80% of full-time hours.
- **Managerial Roles**: Managers can telework up to one day per week.

### F","(Article 7.4.3)
- **Full-Time Employees**: Up to 2 days per week.
- **Part-Time Employees (≥80%)**: Up to 1 day per week.
- **Managers**: Limited to 1 day per week.
- **Service Limitation**: No more than 50% of a unit's staff can telework on the same day.

### A","(Article 7.4.3)
- **Process**: Employees must submit a written request to their manager and HR.
- **Manager's Discretion**: Managers assess the feasibility based on job nature, data security, and employee autonomy.
- **Approval**: Requires HR and managerial approval; refusals must be justified.

### C","(Article 7.4.7)
- **IT Setup**: Installation costs covered by the company within reasonable limits.
- **Operational Costs**: Annual allowance for internet, phone, and electricity, prorated to telework days.

### P","(Article 7.5)
- **Right to Disconnect**: Employees are not required to respond to work communications outside of designated work hours.
- **Privacy**: Employer cannot contact employees outside of agreed work hours, ensuring respect for personal time.

The document does not mention meal allowance.",ACCOTEXT000042335284
9,"(Article 2)
- **Eligible Workers**: 
  - Must be on a CDI (permanent contract) or CDD (fixed-term contract).
  - Must have at least six months of tenure.
  - Must have an internet connection at home.
- **Ineligible Workers**: 
  - Part-time employees, alternates, interns, and temporary workers.
  - Positions requiring physical presence (e.g., production roles).
- **Approval Required**: 
  - Must obtain agreement from both the manager and HR.

### F","(Article 1)
- **Telework Frequency**: 
  - Allowed one full day per week, excluding Wednesdays.
  - Exceptionally, telework on Wednesday may be permitted by the manager.
- **Restrictions**: 
  - Telework days must be on full working weeks (no holidays, RTT, or Friday permanence).
  - Telework days cannot be adjacent to holidays or each other.

### A","(Article 3)
- **Establishment Process**: 
  - Initiated by the employee via a specific form.
  - Requires explicit agreement from the manager and HR.
  - Formalized through a signed form once approved.

### C","(Article 6)
- **Cost Coverage**: 
  - Company provides necessary IT equipment.
  - Employee responsible for internet subscription costs.
  - Company covers costs related to equipment loss or damage.
  - Technical support provided by the employer.

### P","(Article 6 & Chapter 2)
- **Right to Disconnect**: 
  - Employees must disconnect from work tools between 8 PM and 7 AM, and during weekends, holidays, and any work suspension.
- **Privacy Provisions**: 
  - Contact hours are set in consultation with the employee.
  - For non-executive employees, contact hours are between 7:30 AM and 7:30 PM.
  - Employees must adhere to the company’s IT security policies and training.

The document does not mention meal allowance.",ACCOTEXT000037350310
10,"(Article 2.1.3)
- **Eligible Workers**: 
  - Cadres administratifs on a permanent contract (CDI).
  - Must be on a ""forfait jour"" (fixed number of working days per year).
  - Job must be partially executable remotely.
  - Minimum of one year of seniority.

### F","(Article 2.1.3)
- **Telework Frequency**:
  - Maximum of one day per week.

### A","(Article 2.1.3)
- **Establishing Telework**:
  - Requires adherence to the experimental telework charter.
  - Subject to managerial approval.

### C","(the document does not mention costs)
- **Coverage of Costs**:
  - The document does not mention costs associated with telework.

### P","(the document does not mention privacy)
- **Privacy Provisions**:
  - The document does not mention the right to disconnect or privacy provisions for teleworkers.",ACCOTEXT000037334838
11,"(Article 5.3)
- **Eligible Workers**: Not all jobs are compatible with telework. Eligibility depends on the nature of the job, the organization of the employee's work, the need for presence with clients, and the supervisor's approval.
- **Criteria**: Compatibility with telework is assessed based on job characteristics and organizational needs.

### F","(Article 5.3)
- **Telework Frequency**: The document does not specify the exact number of days per week allowed for telework or minimum office presence requirements. It mentions that telework will be experimented with and detailed in a future company charter.

### A","(Article 5.3)
- **Establishing Telework**: Telework arrangements require the approval of the direct supervisor. The company plans to define the operational conditions for telework in a charter to be developed in the first quarter of 2018.

### C","(Article 5.3)
- **Coverage of Costs**: The document does not mention coverage of costs associated with telework, such as IT setup or meal allowances.

### P","(Article 5.1)
- **Right to Disconnect**: Employees are encouraged to disconnect from work-related communications outside of regular working hours, including evenings, weekends, and during vacations, except in exceptional situations.
- **Privacy Provisions**: Employees are not obligated to respond to emails or calls outside of working hours, and measures will be put in place to monitor and prevent excessive use of digital tools during rest periods.

If any topic is not mentioned in the document, it is explicitly stated. This summary adheres to the 300-token limit.",ACCOTEXT000038118786
12,"(Article 3)
- **Voluntary participation**
- **Permanent contract (CDI)**
- **Minimum one year of tenure at EPS and in the current role**
- **Full-time or part-time (minimum 80%)**
- **Exclusions**: Alternates, fixed-term contracts, and interns

### F","(Article 1.4)
- **One day per week**
- **Presence in the office at least 3 days per week**
- **No carryover of telework days**

### A","(Article 4.1)
- **Voluntary application process**
- **Manager and HR approval required**
- **Formalized through an addendum to the employment contract**

### C","(Article 6.3 & 6.4)
- **No fixed allowance**
- **Meal allowance equivalent to in-office days**

### P","(Article 5.3)
- **Right to disconnect as per company policy**
- **Adherence to standard working hours and availability**

The document does not mention specific privacy provisions beyond the right to disconnect.",ACCOTEXT000037334869
13,"(Article 3.1)
- **Eligible Workers**:
  - Employees on CDI and CDD contracts (excluding alternance contracts and interns).
  - Minimum tenure of 1 year at CAAS and 6 months in the current position.
  - Part-time employees working at least 80% of full-time hours.
  - Job roles that do not require daily on-site presence, special security measures, or non-digital work.
  - Excludes Back Office employees.

### F","(Article 2.2)
- **Weekly Telework**:
  - One fixed day per week, with a possible exception for two days for health reasons.
- **Quarterly Telework**:
  - Up to 6 days per quarter, not exceeding one day per week.
- **Occasional Telework**:
  - Up to 10 days per year, not more than one day per week.

### A","(Article 4.1)
- **Establishing Telework**:
  - Requires mutual agreement between the employee and manager.
  - Formalized through an addendum to the employment contract.
  - Manager evaluates eligibility based on job requirements and service needs.

### C","(Article 3.2)
- **Cost Coverage**:
  - High-speed internet subscription costs reimbursed proportionally (1/22nd per telework day, up to €35/month).
  - Employee must provide proof of home insurance covering telework.

### P","(Article 4.4)
- **Right to Disconnect**:
  - Employees must be reachable during defined working hours.
  - Respect for private life and work-life balance is emphasized.
- **Privacy Provisions**:
  - Employees must ensure data confidentiality and proper use of company equipment.

The document does not mention meal allowance.",ACCOTEXT000037390855
14,"- **Article 4**: Telework eligibility is considered on a case-by-case basis for employees aged 55 and above, provided the work organization allows it.

### F","- **Article 4**: The document does not mention the specific frequency of telework allowed.

### A","- **Article 4**: Telework conditions are studied individually, implying that permission must be obtained and arrangements are subject to managerial discretion.

### C","- **Article 4**: The document does not mention coverage of costs associated with telework.

### P",- **Article 4**: The document does not mention provisions for the right to disconnect and the privacy of the worker.,ACCOTEXT000037409738
15,"(Article 2)
- **Voluntary Participation**: Employees must volunteer for telework.
- **Employment Type**: Must have a permanent contract (CDI).
- **Tenure**: Minimum of 6 months at BNP Paribas Arbitrage and in the current position.
- **Work Schedule**: Full-time or part-time (80% or 90% with specific conditions).
- **Exclusions**: Not available to regular teleworkers, apprentices, interns, or fixed-term contract employees.

### F","(Article 3.2)
- **Monthly Limit**: Up to 2 days per month.
- **Weekly Limit**: Maximum of 1 day per week (cannot be split into half-days).

### A","(Article 2.3)
- **Authorization**: Requires prior approval from the manager.
- **Request Process**: Must be submitted at least 5 working days in advance, except in exceptional circumstances.
- **Manager's Role**: Manager assesses compatibility with team and service needs and confirms by email.

### C","(Article 4)
- **No Indemnity**: Occasional teleworkers do not receive the fixed indemnity provided to regular teleworkers.
- **Training**: Access to e-learning resources on telework best practices.

### P","(Article 3.1)
- **Right to Disconnect**: Follows the same provisions as regular telework, ensuring work-life balance and privacy.
- **Data Security**: Employees must ensure secure handling of company data and operations from home.

The document does not mention meal allowance or IT setup costs explicitly.",ACCOTEXT000037511668
