,Eligibility,Frequency,Arrangements,Costs,Privacy,doc
0,"Employees with a stable and secure internet connection, an appropriate workspace, and compatible job functions are eligible for telework. This includes full-time employees with at least six months of tenure and a manager's approval (Article 1).
- *","Telework is allowed for up to two days per week, with a minimum of one day in the office. Exceptions may be made for specific roles or situations (Article 1).
- *","Telework arrangements are established through a formal agreement between the employee and manager, with a one-month trial period. The agreement is reviewed annually and can be terminated with a one-month notice (Article 2).
- *","The company covers the cost of necessary equipment and software for telework. Employees are responsible for maintaining their workspace and internet connection (Article 5).
- *","The company respects the right to disconnect and encourages employees to maintain a healthy work-life balance. Confidentiality and data protection are essential, and employees are expected to follow the company's IT charter and data protection policies (Article 4).

Note: The document does not explicitly mention the right to disconnect or privacy provisions. However, it does emphasize the importance of work-life balance and data protection.",T06120001419-44241641800022
1,"All employees of the company are eligible for telework, as long as they have a minimum of 60% of a full-time position (3 days per week). Exceptions can be made for specific individual situations related to health or family environment (Article 2.1).
- *","Telework is allowed up to two days per week for full-time or 90% employees, and 1.5 days per week for 80% employees. The telework days are fixed and cannot be accumulated or transferred to the following week (Article 4.1).
- *","To establish telework arrangements, employees must complete a form and submit it to their manager for review. The manager will consider the compatibility of the request with the employee's duties and the service's functioning. The employee will receive a response within 15 days (Article 2.2).
- *","The company provides the necessary IT and telephony equipment for telework. Employees are responsible for their internet connection and electricity costs. An allocation for telework-related expenses is provided (Article 4.3).
- *","The company respects the right to disconnect and encourages employees to avoid professional communications outside of working hours. The company does not provide specific information on privacy provisions in the document (Article 4.5).

The document does not mention specific provisions for the right to disconnect and privacy beyond the general right to disconnect mentioned in Article 4.5.",T04920004685-83965774900017
2,"Eligible workers are salaried, non-itinerant employees who are cadres or non-cadres under CDI or CDD, working full-time or part-time at 60% or more. They must have job autonomy and not require specific on-site equipment or documents. The document does not mention eligibility for interns or handicapped workers.
- *","Telework is allowed up to 5 days per week, with a minimum of 2 days required in the office. The employee must be present in the office for at least 2 days per week, except for those with a forfait annuel en jours.
- *","Telework arrangements are established through a voluntary agreement between the employee and employer. The employee must submit a request with required documents, and the employer will respond within 15 days. The employee can suspend or end telework with a 15-day notice.
- *","The company does not cover internet, loyer, or electricity costs. However, they offer a participation of up to 250 euros for telework setup and renewable every 3 years.
- *","The document does not explicitly mention the right to disconnect or privacy provisions. However, it does address confidentiality and protection of data.

The document does not mention specific plages horaires for contacting teleworkers. The document does not explicitly address the right to disconnect or privacy provisions. However, it does address confidentiality and protection of data.",T09220021033-39985160900038
3,"Eligible workers are those with at least 3 months of tenure in the services support of the Société des Crématoriums de France, excluding those with positions requiring physical presence or significant and regular absences. Stagiaires are also eligible after 3 months of presence. The decision is at the manager's discretion, considering the employee's autonomy, availability, team configuration, and compatibility of functions with telework (Article 2, 3).
- *","Telework is allowed up to 2 days per week, with a maximum of 40% of the weekly duration for full-time employees. The number of days can be adjusted based on the specifics of the function, service, or activity (Article 4).
- *","Telework arrangements are established based on the employee's initiative and manager's approval. Exceptions include cases where the employer imposes telework due to pollution, strikes, weather conditions, epidemics, or building closures (Article 2).
- *","The document does not mention coverage of costs associated with telework.
- *","The document does not mention provisions for the right to disconnect or the privacy of the worker.

Confidence: 90%",T59L21014153-40276178700124
4,"Eligible employees include those with at least six months tenure and a permanent contract, excluding trainees and interns. Job roles must be suitable for telework, with no specific criteria mentioned (Article III.1, III.2, III.3).
- *","Telework is allowed for a maximum of three days per week, with a minimum of two days in the office. The weekly limit is 60% of the working time (Article V.1).
- *","Employees must submit a request to their manager, who has discretion to approve or deny it. A trial period is required to assess the feasibility of telework (Article IV.1, IV.2).
- *","The company provides a fixed indemnity for telework, covering electricity, internet, and other related expenses. No mention of IT setup or meal allowance (Article VI.8).
- *","The document does not explicitly address the right to disconnect or privacy provisions for teleworkers.

Confidence: 85%",T09219014940-83375143100036
5,"- The telework policy applies to all employees of the company (Article 1).
- Eligibility is based on the compatibility of the employee's activity with telework, their ability to work autonomously, and their capacity to ensure effective communication (Article 4).

*","- Telework is allowed up to 6 days per month, with a maximum of 2 days per week (Article 5).

*","- Telework arrangements are established through a voluntary request process, with the final decision made by the manager (Article 6.1).

*","- The company provides an indemnity of 2.50 euros per day of telework to cover additional costs (Article 7.1).

*","- The company respects the right to disconnect and the privacy of the worker, with specific guidelines for communication and response times (Article 5.2).

Note: The document does not explicitly mention provisions for the right to disconnect or privacy beyond the general principles outlined in Article 3.",T07222003951-57565040300018
6,"**
- Eligible workers are cadres and non-cadres with jobs that don't require permanent or quasi-permanent physical presence.
- Excludes contract apprentices, professional contract holders, and interns.
- Open to full-time and part-time employees.
- Not compatible with childcare.
- Not an absolute right or obligation.

*","**
- Telework is not possible for the entire duration of the work contract.
- Telework is allowed for a minimum of 3 days per week, with exceptions for specific services and situations.

*","**
- Voluntary basis, with a focus on trust and autonomy.
- Temporary telework is allowed for personal reasons, subject to manager approval.
- Not compatible with probation periods or short-term contracts.

*","**
- The document does not mention specific coverage for telework costs.

*","**
- The document does not mention specific provisions for the right to disconnect or privacy.

Note: The document does not explicitly address all categories, and specific details may vary. Always refer to the original document for the most accurate and up-to-date information.",T02921005386-30885192200077
7,"- Eligible workers are those with a CDI or CDD of more than 6 months, working full or part-time at 80% minimum.
- Eligible jobs are those with activities compatible with telework, with the necessary autonomy and expertise to perform tasks remotely.
- Eligible teams are those with a functional organization that allows for telework.
- Eligible employees have a dedicated workspace at their primary residence.

F","- Telework is allowed 1-2 days per week, with a minimum of 3 days on-site.
- Part-time employees work at least 3 days on-site.
- Temporary telework is allowed for up to 20 days per year.

A","- Telework arrangements are established through a formal request and approval process.
- Managers have discretion in approving telework requests based on team and job compatibility.

C","- The document does not mention any specific coverage of costs associated with telework.

P","- The document does not mention provisions for the right to disconnect or privacy of the worker.

Note: The document does not explicitly mention the right to disconnect or privacy provisions for teleworkers. It is essential to ensure that these aspects are addressed in the company's telework policy to promote a healthy work-life balance and protect employee privacy.",T07522040682-33450265500023
8,"- Eligible workers are those with a CDI or CDD contract, working full or part-time (≥ 80%), with at least four months of seniority in the company, and occupying a role that can be performed autonomously without requiring constant managerial presence or specific equipment.
- The document does not mention any specific exclusions or additional criteria.

F","- Eligible workers can telework up to 2 days per week, within a limit of 6 days per month and 40 days per year.
- Telework days cannot be carried over and must be taken in full days.
- The document does not mention any specific requirements for the employee's presence in the office.

A","- Telework arrangements are established through a process involving self-assessment, manager approval, and formal response.
- The manager has the discretion to approve or deny telework requests based on the employee's role, autonomy, and compatibility with the team's needs.
- The document does not mention any specific requirements for the employee's presence in the office.

C","- The document does not mention any specific provisions for the coverage of costs associated with telework, such as IT setup or meal allowance.

P","- The document emphasizes the importance of preserving the right to disconnect and the privacy of the worker.
- The document does not mention any specific provisions for the protection of privacy or the right to disconnect.

Note: The document does not mention any specific requirements for the employee's presence in the office.",T07518004092-44200650800034
9,"- Eligible workers are those with an activity that can be performed at a distance and who have been employed for at least six months.
- Exclusions: Stagiaires and alternants.
- Exceptions: Certain activities that cannot be performed at a distance.
- Excluded from telework: Employees with a time contract of less than 60%.

F","- Two days per week for full-time employees and one day per week for part-time employees with a time contract of at least 60%.
- Minimum of two days per week in the office.

A","- Voluntary for both the employee and the manager.
- The employee must submit a request to the manager, who has 15 days to respond.
- The manager's response must be motivated and can be appealed to the commission of follow-up of the agreement.

C","- The document does not mention any specific coverage of costs associated with telework.

P",- The document does not mention provisions for the right to disconnect and the privacy of the worker.,T09122007817-78425716400060
