,Eligibility,Frequency,Arrangements,Costs,Privacy,doc
0,"- The document does not mention eligibility.

*","- The document does not mention frequency.

*","- The document does not mention arrangements.

*","- The document does not mention costs.

*","- The document does not mention privacy.

The provided document is an amendment to an existing agreement and primarily focuses on extending the duration of the telework policy experiment. It does not provide specific details on eligibility, frequency, arrangements, costs, or privacy related to telework.",ACCOTEXT000038470268
1,"- **Article Reference**: The document does not mention eligibility.
- **Summary**: The document does not specify which workers are eligible for telework, including criteria such as tenure, employment type, or job characteristics.

### F","- **Article Reference**: The document does not mention frequency.
- **Summary**: The document does not specify the frequency of telework allowed, such as the number of days per week permitted or minimum requirements for the employee’s presence in the office.

### A","- **Article Reference**: The document does not mention arrangements.
- **Summary**: The document does not specify the process by which telework arrangements are established, including whether permission must be obtained and whether the manager has discretion over the allowability of telework.

### C","- **Article Reference**: The document does not mention costs.
- **Summary**: The document does not specify the coverage of costs associated with telework, such as IT setup and meal allowance.

### P","- **Article Reference**: The document does not mention privacy.
- **Summary**: The document does not specify provisions for the right to disconnect and the privacy of the worker.

**Note**: The provided document primarily focuses on the extension and procedural aspects of the telework agreement rather than specific policy details.",ACCOTEXT000038513788
2,"- **Article 2**: Eligible employees must have at least 3 months of tenure and not be on a trial period. Their job functions must be compatible with telework.
- Special consideration is given to pregnant employees and those recognized as disabled.
- Excluded: Employees whose work is field-based, those using non-remote tools, apprentices, professionalization contract holders, and interns.

### F","- **Article 3**: Telework is limited to 1 day per week, with a minimum of 3 days in the office.
- Exceptions can be made for medical reasons or exceptional circumstances, subject to approval.

### A","- **Article 7**: Telework requires the manager's approval. Employees must submit a written request, and the manager has one month to respond.
- For exceptional telework, requests can be made via email or instant messaging.

### C","- **Article 6**: Employees must ensure their home setup is compatible with telework. The company provides necessary equipment, which remains its property.
- The document does not mention meal allowances or other cost coverages.

### P","- **Article 5.2**: Employees have the right to disconnect, as defined in the agreement on professional equality dated June 12, 2017.
- **Article 13**: Employees must adhere to data protection and confidentiality rules, ensuring the security of their authentication means and data.

This summary adheres to the 300-token limit and provides a clear overview of the telework policy for employees.",ACCOTEXT000038347813
3,"- The document does not mention eligibility.

2. *","- The document does not mention frequency.

3. *","- The document does not mention arrangements.

4. *","- The document does not mention costs.

5. *","- The document does not mention privacy.

The document primarily focuses on salary adjustments and gender equality measures, with a brief mention that a telework agreement will be negotiated in early 2019.",ACCOTEXT000038513803
4,"(Article 3-1)
- **Eligible Workers**:
  - Employees using digital technologies (support, administrative roles)
  - Performing administrative tasks
  - Minimum tenure of 6 months in the role
  - Activity in telework should not disrupt service operations
  - Employees not requiring close managerial support

### F","(Article 3-1)
- **Telework Frequency**:
  - Up to 4 days per month
  - Maximum of one day per week (excluding Mondays and Fridays)
  - Exceptions for special circumstances (e.g., strikes, weather conditions)

### A","(Article 3-1)
- **Establishing Telework**:
  - Voluntary for both employee and employer
  - Requires written request from the employee
  - Subject to approval by the management based on eligibility criteria
  - Decision communicated within one month, with reasons provided if denied

### C","(Article 3-1)
- **Cost Coverage**:
  - Employer provides and maintains necessary equipment
  - Includes laptop, remote access solutions, telephony, and insurance
  - Employer covers all financial aspects related to telework setup

### P","(Article 2-1, Article 3-1)
- **Right to Disconnect**:
  - Employees have the right to disconnect during evenings, weekends, and holidays
  - No obligation to respond to work communications outside regular hours
- **Privacy**:
  - Respect for personal life and privacy guaranteed
  - Confidentiality of data and communication tools must be maintained

The document does not mention meal allowance.",ACCOTEXT000038513809
5,"- The document does not mention eligibility criteria for telework.

2. *","- The document does not mention the frequency of telework allowed.

3. *","- The document states that the direction commits to opening negotiations before the end of 2018 to establish an agreement on telework, covering occasional, regular, and permanent telework arrangements (Article 4).

4. *","- The document does not mention the coverage of costs associated with telework.

5. *","- The document does not mention provisions for the right to disconnect and the privacy of the worker.

In summary, the document indicates a commitment to negotiate a telework agreement but does not provide specific details on the telework policy itself.",ACCOTEXT000038363978
6,"(Article 2.1)
- **Eligible Workers**: 
  - Employees with a permanent contract (CDI).
  - Must have at least one year of tenure at the company and six months in their current position.
  - Only full-time employees are eligible.
- **Excluded Workers**: 
  - Part-time employees, temporary contract (CDD) workers, interns, and apprentices.
- **Job Compatibility**: 
  - The job must be compatible with telework, determined by the manager.

### F","(Article 4.1)
- **Allowed Frequency**: 
  - Telework is permitted one day per week.
  - The specific day is agreed upon between the employee and the manager.
- **Exceptions**: 
  - In exceptional cases, the manager can require the employee to be present in the office with 48 hours' notice.

### A","(Article 3.1)
- **Request Process**: 
  - Employees must submit a written request (email or letter) 30 days before the desired start date.
  - The request must include the chosen telework day and the exact address of the telework location.
  - An electrical compliance certificate must be attached.
- **Manager's Discretion**: 
  - The manager has the right to accept or reject the request within 15 days.
  - Rejections must be provided in writing with reasons.
  - Employees can contest rejections with HR.

### C","(Article 3.3)
- **IT Setup**: 
  - Employees must use a company-provided laptop and have a personal internet connection with sufficient bandwidth.
- **Meal Allowance**: 
  - The document does not mention meal allowance.

### P","(Article 5.1)
- **Right to Disconnect**: 
  - The company must respect the employee's private life and cannot contact them outside of agreed working hours, except in emergencies.
- **Data Confidentiality**: 
  - Employees must ensure the confidentiality of work-related data.
- **Accident Reporting**: 
  - Any accidents during telework must be reported within 24 hours.

This summary adheres to the 300-token limit and provides a clear overview of the telework policy for employees.",ACCOTEXT000038200026
7,"(Article 2)
- **Eligible Workers**: 
  - Employees with a permanent contract (CDI) or a fixed-term contract (CDD) of at least 12 months.
  - Full-time and part-time employees (telework days adjusted for part-time).
  - Minimum of three months' tenure in the current position.
  - Must demonstrate autonomy in their role and personal work habits.
- **Exclusions**:
  - Employees in probationary periods.
  - Roles requiring physical presence due to equipment or job nature.
  - Apprentices and interns.
  - Potential pilots for other functions may be launched for up to 12 months.

### F","(Article 3.4)
- **Allowed Frequency**: 
  - Up to two days per week.
  - Specific days to be agreed upon between the employee and their manager.
  - Telework may be refused for specific events requiring physical presence without compensation.

### A","(Article 3.1, 3.3)
- **Process**:
  - Voluntary basis initiated by the employee.
  - Requires mutual agreement with the manager.
  - Formal request in writing to the manager and HR.
  - Manager decides within one month after a formal interview.
  - Positive responses result in a contract amendment; negative responses must be justified in writing.
  - Telework arrangements are reversible with a three-week notice period.

### C","(Article 4, Article 5)
- **Covered Costs**:
  - Company provides necessary IT equipment (laptop, phone).
  - Monthly allowance of 20 euros for internet, insurance, and other related costs.
  - Employee must provide proof of internet connection and insurance.

### P","(Article 3.3, 6.2)
- **Right to Disconnect**:
  - Telework must adhere to regular working hours and mandatory presence periods.
  - Breaks, including lunch, must be observed.
- **Privacy**:
  - Employees must ensure data security and confidentiality.
  - Company may request access to the telework location for compliance checks, with prior written consent from the employee.",ACCOTEXT000038527765
8,"- **Article Reference:** Titre V
- **Summary:**
  - Employees of the Etablissement DMSMO are eligible.
  - Must be part of the Directions des Métiers Support et des Métiers Opérationnels.
  - Employment must be governed by the Convention Collective Nationale des Sociétés d’Assurances or the Convention Collective Nationale de l’Inspection d’Assurance.

### F","- **Article Reference:** Titre V
- **Summary:**
  - Telework is allowed 1 to 2 days per week.
  - 55% of teleworkers work 1 day per week.
  - 45% of teleworkers work 1.5 to 2 days per week.

### A","- **Article Reference:** Titre V
- **Summary:**
  - Employees must submit a motivated request to their manager.
  - An interview is conducted to discuss eligibility and organization.
  - A ""Fiche Télétravail"" is completed to confirm or refuse the request.
  - Managers must formalize and explain any refusal for a second telework day.

### C","- **Article Reference:** The document does not mention costs.

### P",- **Article Reference:** The document does not mention privacy.,ACCOTEXT000038347840
9,"- **Article Reference**: Not explicitly mentioned in the provided document.
- **Summary**: The document does not mention specific criteria for worker eligibility for telework.

### F","- **Article Reference**: Article 1 and Article 2
- **Summary**:
  - Employees can telework an additional day during weeks with pollution episodes, subject to managerial approval and a one-day notice period.
  - This additional telework day must not disrupt the service and team operations.

### A","- **Article Reference**: Article 1 and Article 2
- **Summary**:
  - Telework arrangements require managerial approval.
  - Employees must provide a minimum one-day notice to telework on additional days during pollution episodes.
  - The arrangement must not compromise the service and team functionality.

### C","- **Article Reference**: Not explicitly mentioned in the provided document.
- **Summary**: The document does not mention coverage of costs associated with telework.

### P","- **Article Reference**: Not explicitly mentioned in the provided document.
- **Summary**: The document does not mention provisions for the right to disconnect and the privacy of the worker.",ACCOTEXT000038364027
