,Eligibility,Frequency,Arrangements,Costs,Privacy,doc
0,"Employees eligible for telework include those with a full-time or at least 80% part-time contract, at least 2 months of seniority, autonomous tasks, and compatible missions. Excluded are apprentices, contractual trainees, and those with incompatible functions (e.g., gardiens, agents d'entretien, and assistants of directors).
2. F","Eligible employees can telework once a week (for full-time) or up to 3 days a month (for part-time or amended contracts). Days are variable and cannot exceed two per week.
3. A","Telework arrangements are established at the employee's request, subject to manager approval and meeting eligibility criteria. A document specifying the conditions is signed by both parties.
4. C","The document does not mention any coverage of costs associated with telework.
5. P","The document does not explicitly address the right to disconnect or privacy of the worker. However, it does mention the need for a suitable workspace and the employer's obligation to ensure the worker's health and safety.

Note: The document does not mention specific articles or sections for each category. The response is based on the provided information and the general context of the agreement.",T03321009138-39873148900033
1,"**

- Eligible workers are those in indefinite or fixed-term contracts, working full or part-time, with at least four months of seniority.
- Posts must allow for remote work without requiring physical presence or handling of confidential paper documents.
- Alternants and interns with more than six months of service are eligible after four months of presence.
- Specific conditions apply to disabled workers, pregnant women, those returning from long illness, accident victims, and caregivers.

*","**

- Regular telework is allowed for two days per week for full-time employees and one day per week for part-time employees.
- Alternants and interns can telework for one day per week.
- Days are posed weekly or monthly, with a preference for monthly planning.

*","**

- Telework is voluntary and subject to manager approval.
- A three-month adaptation period is provided for both parties to assess the arrangement.
- The teletraveler must submit a request form to their manager and HR.

*","**

- A monthly forfait of €10 or €20 is provided for internet and energy costs.
- The forfait is exempt from social contributions and covers up to 2.50 euros per day of telework.

*","**

- The right to disconnect is respected, with no work-related communication outside of designated hours.
- The teletraveler must ensure a suitable work environment and inform their insurer.
- Confidentiality and data protection are essential, with no confidential paper documents stored at home.
- The teletraveler must comply with the company's IT charter and security policies.

**Not mentioned:**

- The document does not explicitly mention the coverage of meal allowances or other related costs.
- It does not provide information on the process for handling exceptional circumstances or force majeure.
- The document does not explicitly address the possibility of teleworking from abroad.
- The document does not mention the possibility of teleworking for employees with specific conditions (e.g., disabled workers) beyond the adaptation period.",T09121007153-49137116700017
2,"Eligible workers are those who can perform their duties autonomously and have the necessary professional skills. Posts must be compatible with telework, i.e., they can be partially and regularly executed at a distance without affecting the service's proper functioning (Article 2.1 and 2.2).
- *","Telework is allowed up to three days per week, with journeys defined in advance and validated by the hierarchical manager. The teleworker is considered present at work and has the same rights and duties as on-site employees (Article 1 and 3).
- *","To establish telework arrangements, the employee must submit a written request to their direct hierarchical manager. The request is analyzed based on eligibility criteria, and a response is provided in writing. The agreement is valid only for the employee's current post (Article 2.3 and 3).
- *","The company provides and maintains the teleworker's equipment (computer, peripherals, and telephone). The teleworker is responsible for the equipment's safekeeping and must inform the company in case of malfunction or loss (Article 4).
- *","The right to disconnect is respected, and the teleworker's privacy is protected. The teleworker is not required to be available outside their established working hours (Article 3).

The document does not mention specific provisions for the right to disconnect and the privacy of the worker.",T07822010759-89999866000018
3,"- Eligible workers are those with a CDI, not in a probationary period, with an 80% or higher workload, and at least 6 months of tenure in the company (Article 2).
- Excluded are those in apprenticeships, professional contracts, on CDDs, or with a workload under 80% (Article 2).
- Remote work is open to specific activities, such as commercial, projects, achats, BE, R&D, finance, juridical, informatics, direction, RH, methods, QHSE, and commercial (Article 2).

F","- Telework is allowed up to two days per week (Article 8).
- Days and hours are agreed upon by the employee and manager (Article 8).

A","- Telework arrangements are established through a written request to the manager and a 2-month response window (Article 3).
- The manager can refuse for reasons such as eligibility, technical issues, security, or organizational disruptions (Article 3).
- A 1-month notice period is required to end the telework arrangement (Article 4).

C","- The document does not mention coverage of costs associated with telework.

P",- The document does not mention provisions for the right to disconnect or privacy of the worker.,T59L22015897-44457177200029
4,"Employees with a CDI contract and at least 6 months of tenure are eligible for telework. The employee's role must be compatible with telework, and they must have the necessary autonomy and a suitable home environment. The employee must also have an up-to-date multirisk home insurance policy. (Article 3)
- F","Telework is allowed for two days per week for full-time employees. The employee and manager determine the days, which can be fixed or vary. In case of emergency or necessity, the day of telework can be changed or canceled. (Article 5)
- A","Telework arrangements are established through a written agreement between the employee and manager. The agreement specifies the start date, number of days, and the material provided. The employee must have the necessary skills to use the tools for telework. (Article 4)
- C","The company covers the costs of IT setup and maintenance, as well as meal allowances. Employees are responsible for their home internet and electricity costs. (Article 10)
- P","The company and employees must respect the right to disconnect and the privacy of the worker. The employee must be reachable during their telework hours and must comply with the company's charter on the use of IT tools. (Article 10)

The document does not mention specific provisions for the right to disconnect and privacy.",T04622000872-42868244700019
5,"- Eligible workers are those with at least one year of tenure at Seine-Saint-Denis habitat, in a function compatible with telework, with a strong degree of autonomy and gérable by objective management. They must have an ordinateur portable and téléphone portable provided by Seine-Saint-Denis habitat. (Article 2)

F","- Telework is allowed for a maximum of 1 day every 2 weeks, with a limit of 20% of the effectif of a direction, service, or entity. (Article 1.2)

A","- Telework arrangements are established through a specific process involving the agent, the supérieur hiérarchique, and the DRH. (Article 3)

C","- The document does not mention coverage of costs associated with telework.

P",- The document does not mention provisions for the right to disconnect and the privacy of the worker.,T09319003417-27930019800041
6,"- Employees with at least 6 months of seniority and a solid or top performer evaluation are eligible for telework.
   - Specific job roles and functions are eligible for telework, while others are not due to operational needs.
   - Employees must have good time management skills and be able to work autonomously.
   - Stagiaires, apprentices, and contractual apprentices are not eligible for telework.
   - Employees with disabilities or requiring work adjustments may be eligible for telework.

2. F","- Telework is allowed for up to 2 days per week, with at least 2 days of in-office presence required.
   - Days of telework can be fixed or flexible, depending on the manager's discretion.
   - Telework is not allowed on days with mandatory in-office meetings or events.

3. A","- Telework arrangements are established through a written request to the manager and HR.
   - The manager has 30 days to respond, and refusal must be justified.
   - The employee can appeal the refusal to HR.

4. C","- The document does not mention specific coverage of costs associated with telework.

5. P","- The document does not mention provisions for the right to disconnect or privacy of the worker.

Note: The document does not mention specific details about the right to disconnect, privacy, or cost coverage for telework.",T09221029451-78994732200010
7,"- Eligible workers are those with a minimum of 6 months tenure, full-time or part-time (80% or more) contracts, and a role that can be partially and regularly performed from a remote location.
- Ineligible workers include cadres dirigeants and those with incompatible roles, such as those requiring physical presence or specific technical requirements.
- The document does not mention specific criteria for handicapped employees, but their situation is given special consideration.

F","- Telework is allowed for a maximum of 60 days per year for full-time employees, prorated for part-time employees.
- Days are allocated on a first-come, first-served basis, with a minimum of 2 months' notice for requesting telework days.
- The document does not mention specific requirements for telework frequency.

A","- Telework arrangements are established through a formal process involving a written request, eligibility assessment, and a 3-month adaptation period.
- The document does not mention specific details about the process for establishing telework arrangements.

C","- The document does not mention specific provisions for covering costs associated with telework, such as IT setup or meal allowance.

P","- The document does not mention specific provisions for the right to disconnect or privacy of the worker.

Note: The document does not explicitly mention the right to disconnect or privacy provisions, and it does not provide specific details about the process for establishing telework arrangements or covering costs. It is recommended to consult the full document for more information.",T06221006390-40359626500161
8,"**

* Eligible workers are those with a permanent contract, temps plein, and at least 6 months of tenure in their function and the company.
* Employees must have a compatible function with telework, not requiring physical contact with the public or on-site tasks.
* Employees must have autonomy in their work and sufficient mastery of their post and tools.
* Employees must have a stable and reliable internet connection at home.

*","**

* Telework is allowed one day per week, non-fractionable, and cannot be performed on Wednesdays.
* The telework day cannot be reported or postponed.

*","**

* Telework is established through a formalized agreement between the employee and the manager, with a 1-month notice period for termination.
* The employee must have a stable and reliable internet connection at home.

*","**

* The company does not cover any costs associated with telework, such as IT setup or meal allowance.

*","**

* The document does not mention provisions for the right to disconnect or privacy of the worker.

Note: The document does not mention specific criteria for the employee's presence in the office or the manager's discretion over the allowability of telework.",A09318008690-48274107100013
9,"* Eligible workers are those with a CDI or CDD contract, excluding interns and trainees.
* The employee's job must allow for telework and they must have sufficient autonomy.
* The employee must not be in a trial period and must have a stable internet connection of at least 5Mbps download and 0.8Mbps upload.
* The employee must have a dedicated, quiet workspace at home.

*","* Telework is allowed for up to 1 day per week, with a 15-day advance notice required.
* The employee must respect the company's planning and availability requirements.

*","* Telework is based on voluntary participation and requires the agreement of the employee and their manager.
* The employee must pass an eligibility test and have the necessary equipment and internet connection.
* The employee must sign an avenant to their contract and follow the company's telework policy.

*","* The company provides the necessary equipment and covers the costs of installation and maintenance.
* The employee is responsible for their internet connection and any additional costs associated with telework.

*","* The company respects the employee's right to disconnect and privacy.
* The employee must follow the company's policies on data protection and confidentiality.
* The employee is responsible for ensuring their workspace is safe and secure.

Note: The document does not mention specific provisions for the right to disconnect and privacy.",T07720004642-43990583700035
