,Eligibility,Frequency,Arrangements,Costs,Privacy,doc
0,"- Title: ""Eligibility""
- Eligible workers are those with a permanent contract, 1 year of tenure, working full-time or part-time (at least 80%), and with a compatible job role and domicile.
- Document does not mention any other eligibility criteria.

*","- Title: ""Frequency""
- Telework is allowed for one day per week, with a maximum of 30% of the team teleworking simultaneously.
- Document does not mention any other frequency criteria.

*","- Title: ""Arrangements""
- Telework arrangements are established through a formal request process, with a 1-month response time and a 15-day notice period for termination.
- Document does not mention any other arrangement criteria.

*","- Title: ""Costs""
- The document does not mention any coverage of costs associated with telework.

*","- Title: ""Privacy""
- The document does not mention provisions for the right to disconnect or privacy of the worker.

Note: The document does not mention any specific topics related to costs or privacy.",T07519011013-34474804100037
1,"Eligible workers are CDI and CDD (excluding apprentices) sédentaires with at least 6 months of tenure. They must work in an office-based role and have access to necessary equipment. The document does not mention specific criteria for exclusion.
- *","Telework is allowed up to 40% of the total working time, equivalent to 2 days per week for a full-time employee. The remaining 60% must be spent on-site.
- *","Telework arrangements are established through a formal agreement, either as a renewal of an existing agreement or as an initial agreement for new participants. The document does not provide details on the process for obtaining permission or the manager's discretion.
- *","The company provides necessary equipment and covers related costs. The document does not mention any additional coverage for IT setup or meal allowances.
- *","The document includes a charter for the right to disconnect and emphasizes the importance of respecting the employee's private life. However, it does not explicitly address privacy provisions related to telework.

Note: The response is within the 300-token limit.",T02922006799-85106913800010
2,"- Eligible workers are those with at least 18 months of experience in their role, demonstrating mastery and autonomy in their duties, and performing fully dematerialized tasks (Article 1.2).
- Employees must have a full-time or part-time (at least 3/5 of full-time) contract, and work on-site for at least two days per week (Article 1.2).
- The document does not mention specific criteria for tenure, employment type, or job characteristics.

F","- Technicians and support staff can telework 1, 2, or 3 days per week, while cadres and agents of direction can telework up to 10 days per year (Article 1.2).
- Telework is limited to three days per week to prevent isolation (Article 1.2).

A","- Telework arrangements are established through a formal agreement between the employee, manager, and Direction (Article 1.2).
- The agreement is valid for one year and is renewable (Article 1.2).
- The document does not mention specific procedures for establishing telework arrangements.

C","- The document does not mention coverage of costs associated with telework, such as IT setup or meal allowance.

P","- The document does not mention provisions for the right to disconnect or the privacy of the worker.
- The document does not mention specific privacy protections for teleworkers.",T07118000321-77860011400012
3,"Eligible employees are those with more than three months of tenure, in a CDI or CDD, whose job can be performed remotely and autonomously. Exceptions include workers with jobs that require on-site presence or specific equipment. Handicapped employees and pregnant women are given special consideration (Article 2.1).
- *","Full-time employees can telework up to two days per week, while part-time employees can telework one day per week. Exceptions can be made based on specific criteria (Article 2.2).
- *","Employees must request telework from their manager, who will validate or deny the request based on job requirements and team dynamics. A trial period may be implemented to ensure compatibility (Article 2.3).
- *","The company provides necessary equipment and covers related costs. Employees are responsible for maintaining a suitable work environment and ensuring adequate insurance coverage (Article 2.6).
- *","The document does not explicitly address the right to disconnect or privacy. However, it does mention the importance of maintaining work-life balance and adhering to the company's charter on the use of IT resources (Article 2.6).

The document does not mention the topic of the right to disconnect and privacy.",T09322010721-61204205100047
4,"- All employees of Mattel France, including cadres and non-cadres, with CDI or CDD, full-time or part-time, are eligible for telework without any tenure requirement.
   - Exclusions: Commercial terrain non-sédentary population and employees whose activities require on-site presence.
   - Stagiaires and alternants are eligible if their mission allows.
   - Document does not mention specific tenure or job characteristics.

2. F","- Telework frequency is not explicitly stated in the document.
   - The document mentions that telework is based on the voluntary choice of the employee and can be performed in total or partially.

3. A","- Telework arrangements are established based on the employee's choice and the compatibility of their activity with telework.
   - The manager has discretion over the allowability of telework.
   - Document does not mention a specific process for obtaining permission.

4. C","- The document does not explicitly mention coverage of costs associated with telework.
   - Mattel provides necessary equipment and materials for telework.

5. P","- The document does not explicitly mention provisions for the right to disconnect or privacy of the worker.
   - Mattel has policies regarding confidentiality and protection of data.

Note: The document does not explicitly address all topics, and the responses are based on the provided information.",T09422009466-69203968800118
5,"**
- Eligible workers are those with a CDI or CDD contract, with at least 6 months of continuous presence in the past 12 months, working full-time or part-time (minimum 80%), and in an eligible job. Eligible jobs are those that can be performed remotely without compromising service quality or confidentiality, and do not require on-site presence for customer relations or maintenance.
- Alternates (apprentices and professionalization contract holders) can telework, but managers can restrict their telework to ensure community integration.
- The document does not mention specific tenure or employment type criteria.

*","**
- Eligible workers have two telework days per week, with the same days each week. Managers have flexibility in determining the second day's scheduling.
- The document does not mention specific frequency requirements or minimum office presence.

*","**
- Telework arrangements are established through a formal process involving a request, an attestation of eligibility, and a manager's response.
- The document does not mention specific procedures for establishing telework arrangements or manager discretion.

*","**
- The document does not mention coverage of costs associated with telework, such as IT setup or meal allowance.

*","**
- The document does not mention provisions for the right to disconnect or privacy of the worker.
- The document does not mention specific privacy provisions or measures to ensure work-life balance.

The document does not mention specific details on the coverage of costs associated with telework or provisions for the right to disconnect and privacy of the worker.",T01321012571-05881167000015
6,"All employees with a minimum of 6 months tenure, excluding apprentices, professional trainees, and interns, are eligible for telework if their duties can be performed outside the company's premises. Handicapped employees receive special attention for post amendments to facilitate telework (Article 2.2).
- *","Regular telework is allowed one day per week, with at least three days or six half-days of on-site presence required to maintain communication and avoid isolation (Article 2.2).
- *","Telework arrangements are established through a written request to the immediate supervisor and HR. A three-day or six half-day on-site presence is mandatory for regular telework (Article 2.2).
- *","The company provides necessary IT equipment and contributes 50% of the cost of a dedicated workspace (bureau, chair, and cabinet) up to 125€. Imprimers are not provided. Telephone costs are not covered (Article 3.1).
- *","The company respects the right to disconnect and does not institute surveillance. The company will not solicit teleworkers outside their regular work hours (Article 3.3).

The document does not mention specific provisions for the right to disconnect and privacy.",T03321007320-44141411700032
7,"- Telework is open to all employees in CDI, CDD, and CDDU contracts, as well as temps plein or temps partiel/taux réduit, with regular on-site presence and compatible activities (Article 1.2).
- New hires, alternants, and stagiaires are eligible after a probationary period (Article 1.2.3).

F","- Telework is allowed for a minimum of 40% of contractual working time, with a maximum of 3 days per week (Article 2.1.1).
- Exceptions to the minimum presence requirement may be granted for specific situations (Article 2.1.2).

A","- Telework arrangements are established through a double voluntary process involving a formal request and response (Article 1.1.1 and 1.1.2).
- In case of disagreement, the employee can appeal to higher levels of management or HR (Article 1.1.2.2).

C","- The document does not mention specific coverage of costs associated with telework.

P","- The document does not explicitly address the right to disconnect or privacy provisions for teleworkers.

Note: The document does not explicitly address all the requested categories. The provided response is based on the information available in the document.",T06721008137-38286562400045
8,"Full-time employees with at least 2 months tenure, excluding those requiring physical presence or specific equipment. Must have a suitable home environment, high-speed internet, and an Horoquartz (Home Office) declaration.
2. *","Maximum 2 days per week, with the first day of the week in-office. Not transferable or fractionable.
3. *","Manager approval required, subject to business needs and availability.
4. *","Employees cover all telework costs. No transport reimbursement, but regular transport benefits remain.
5. *","Employees must be reachable during regular work hours. The document does not mention specific provisions for the right to disconnect or privacy.

Confidence: 85%",T06722009824-43392950200014
9,"Wolfberger's telework policy applies to full-time or 80% part-time, permanent contract employees with at least 6 months tenure, who can work autonomously and have a role compatible with remote work (Article 3).

- *","Telework is allowed up to one day per week, either fixed or variable, depending on mutual agreement between the manager and the employee (Article 4b).

- *","Employees can request telework by email to their manager and the HR department. The manager and HR have one month to accept or refuse the request. The employer can also propose telework to employees (Article 4a).

- *","The company provides an ordinateur portable professionnel and a VPN connection for remote work. Employees must have an appropriate multirisk home insurance policy (Article 4d, e).

- *","The company respects employees' privacy and commits to not soliciting them outside of regular work hours. Employees must comply with the company's IT charter and ensure data confidentiality (Article 5b, c).

The document does not mention the right to disconnect or privacy provisions explicitly.",T06819001464-77564227500017
